inventory_id,warehouse_id,product_id,quantity_on_hand,reorder_level,safety_stock,is_low_stock,last_counted_at
INV-00059,WH-AP-002,PROD-009,183,296,124,True,2026-08-05 06:00:44.489038
INV-00060,WH-AP-002,PROD-010,592,153,116,False,2026-08-04 06:00:44.489038
INV-00061,WH-AP-003,PROD-001,1006,225,62,False,2026-08-04 06:00:44.489038
INV-00062,WH-AP-003,PROD-002,1269,172,107,False,2026-08-07 06:00:44.489038
INV-00063,WH-AP-003,PROD-003,469,128,133,False,2026-08-08 06:00:44.489038
INV-00064,WH-AP-003,PROD-004,307,276,95,False,2026-08-10 06:00:44.489038
INV-00065,WH-AP-003,PROD-005,1058,291,81,False,2026-08-12 06:00:44.489038
INV-00066,WH-AP-003,PROD-006,1183,186,67,False,2026-08-12 06:00:44.489038
INV-00067,WH-AP-003,PROD-007,1008,211,80,False,2026-08-03 06:00:44.489038
INV-00068,WH-AP-003,PROD-008,1364,236,119,False,2026-08-09 06:00:44.489038
INV-00069,WH-AP-003,PROD-009,1345,241,74,False,2026-08-05 06:00:44.489038
INV-00070,WH-AP-003,PROD-010,1293,150,120,False,2026-08-07 06:00:44.489038
INV-00071,WH-ME-001,PROD-001,1457,193,146,False,2026-08-04 06:00:44.489038
INV-00072,WH-ME-001,PROD-002,1498,113,82,False,2026-08-04 06:00:44.489038
INV-00073,WH-ME-001,PROD-003,755,104,127,False,2026-08-12 06:00:44.489038
INV-00074,WH-ME-001,PROD-004,215,182,115,False,2026-08-09 06:00:44.489038
INV-00075,WH-ME-001,PROD-005,78,211,57,True,2026-08-07 06:00:44.489038
INV-00076,WH-ME-001,PROD-006,192,286,64,True,2026-08-03 06:00:44.489038
INV-00077,WH-ME-001,PROD-007,1214,254,60,False,2026-08-06 06:00:44.489038
INV-00078,WH-ME-001,PROD-008,92,120,62,True,2026-08-11 06:00:44.489038
INV-00079,WH-ME-001,PROD-009,605,277,115,False,2026-08-04 06:00:44.489038
INV-00080,WH-ME-001,PROD-010,394,124,115,False,2026-08-12 06:00:44.489038
INV-00081,WH-SA-001,PROD-001,1057,253,100,False,2026-08-08 06:00:44.489038
INV-00082,WH-SA-001,PROD-002,769,254,116,False,2026-08-11 06:00:44.489038
INV-00083,WH-SA-001,PROD-003,304,150,86,False,2026-08-10 06:00:44.489038
INV-00084,WH-SA-001,PROD-004,492,299,113,False,2026-08-10 06:00:44.489038
INV-00085,WH-SA-001,PROD-005,1434,141,78,False,2026-08-11 06:00:44.489038
INV-00086,WH-SA-001,PROD-006,926,211,110,False,2026-08-04 06:00:44.489038
INV-00087,WH-SA-001,PROD-007,443,131,132,False,2026-08-04 06:00:44.489038
INV-00088,WH-SA-001,PROD-008,550,132,127,False,2026-08-10 06:00:44.489038
INV-00089,WH-SA-001,PROD-009,517,134,142,False,2026-08-09 06:00:44.489038
INV-00090,WH-SA-001,PROD-010,784,196,87,False,2026-08-12 06:00:44.489038
INV-00091,WH-AU-001,PROD-001,145,264,124,True,2026-08-11 06:00:44.489038
INV-00092,WH-AU-001,PROD-002,573,195,97,False,2026-08-10 06:00:44.489038
INV-00093,WH-AU-001,PROD-003,699,289,112,False,2026-08-11 06:00:44.489038
INV-00094,WH-AU-001,PROD-004,834,244,102,False,2026-08-06 06:00:44.489038
INV-00095,WH-AU-001,PROD-005,471,241,108,False,2026-08-10 06:00:44.489038
INV-00096,WH-AU-001,PROD-006,1257,145,73,False,2026-08-09 06:00:44.489038
INV-00097,WH-AU-001,PROD-007,361,235,66,False,2026-08-09 06:00:44.489038
INV-00098,WH-AU-001,PROD-008,262,203,138,False,2026-08-12 06:00:44.489038
INV-00099,WH-AU-001,PROD-009,548,200,54,False,2026-08-07 06:00:44.489038
INV-00100,WH-AU-001,PROD-010,818,293,78,False,2026-08-04 06:00:44.489038
