shipment_id,order_id,origin_warehouse_id,destination_city,destination_country,carrier,mode,status,shipped_at,estimated_delivery_at,actual_delivery_at,delay_hours,is_delayed
SHP-000022,ORD-000022,WH-SA-001,Taiwan,Taiwan,DB Schenker,Rail Express,IN_TRANSIT,2026-07-06 20:00:44.489038,2026-07-16 20:00:44.489038,,0,False
SHP-000023,ORD-000023,WH-AP-003,Switzerland,Switzerland,Maersk Ocean,Sea Freight,DELIVERED,2026-07-30 08:00:44.489038,2026-08-08 08:00:44.489038,2026-08-09 08:00:44.489038,24,True
SHP-000024,ORD-000024,WH-AP-001,Japan,Japan,DB Schenker,Rail Express,IN_TRANSIT,2026-07-08 23:00:44.489038,2026-07-12 23:00:44.489038,,0,False
SHP-000025,ORD-000025,WH-US-001,USA,USA,Kuehne + Nagel,Road Truckload,DELIVERED,2026-07-14 06:00:44.489038,2026-07-24 06:00:44.489038,2026-07-24 18:00:44.489038,12,True
SHP-000026,ORD-000026,WH-ME-001,Japan,Japan,Cosco Shipping,Road Truckload,DELIVERED,2026-07-27 13:00:44.489038,2026-08-06 13:00:44.489038,2026-08-06 13:00:44.489038,0,False
SHP-000027,ORD-000027,WH-AP-001,Japan,Japan,Maersk Ocean,Sea Freight,DELAYED,2026-07-04 01:00:44.489038,2026-07-10 01:00:44.489038,,0,False
SHP-000028,ORD-000028,WH-AP-002,Taiwan,Taiwan,Cosco Shipping,Road Truckload,IN_TRANSIT,2026-07-19 16:00:44.489038,2026-07-22 16:00:44.489038,,0,False
SHP-000029,ORD-000029,WH-SA-001,Taiwan,Taiwan,Cosco Shipping,Sea Freight,CUSTOMS_HOLD,2026-07-19 19:00:44.489038,2026-07-24 19:00:44.489038,,0,False
SHP-000030,ORD-000030,WH-AP-001,Switzerland,Switzerland,FedEx Express Air,Sea Freight,IN_TRANSIT,2026-07-22 00:00:44.489038,2026-07-25 00:00:44.489038,,0,False
SHP-000031,ORD-000031,WH-AP-001,UK,UK,UPS Supply Chain,Road Truckload,DELAYED,2026-07-12 16:00:44.489038,2026-07-22 16:00:44.489038,,0,False
SHP-000032,ORD-000032,WH-US-001,Germany,Germany,DB Schenker,Road Truckload,DELIVERED,2026-07-22 18:00:44.489038,2026-07-30 18:00:44.489038,2026-07-30 18:00:44.489038,0,False
SHP-000033,ORD-000033,WH-AP-003,Germany,Germany,Cosco Shipping,Rail Express,DELIVERED,2026-07-19 08:00:44.489038,2026-07-22 08:00:44.489038,2026-07-24 08:00:44.489038,48,True
SHP-000034,ORD-000034,WH-EU-001,Taiwan,Taiwan,Cosco Shipping,Sea Freight,DELIVERED,2026-07-22 23:00:44.489038,2026-07-31 23:00:44.489038,2026-07-31 23:00:44.489038,0,False
SHP-000035,ORD-000035,WH-US-001,USA,USA,Maersk Ocean,Air Freight,IN_TRANSIT,2026-07-01 07:00:44.489038,2026-07-11 07:00:44.489038,,0,False
SHP-000036,ORD-000036,WH-SA-001,Taiwan,Taiwan,FedEx Express Air,Air Freight,IN_TRANSIT,2026-08-11 18:00:44.489038,2026-08-20 18:00:44.489038,,0,False
SHP-000037,ORD-000037,WH-SA-001,Australia,Australia,Cosco Shipping,Air Freight,DELIVERED,2026-08-05 10:00:44.489038,2026-08-13 10:00:44.489038,2026-08-13 10:00:44.489038,0,False
SHP-000038,ORD-000038,WH-US-001,Germany,Germany,Maersk Ocean,Air Freight,DELIVERED,2026-07-27 17:00:44.489038,2026-08-03 17:00:44.489038,2026-08-04 17:00:44.489038,24,True
SHP-000039,ORD-000039,WH-EU-001,Japan,Japan,FedEx Express Air,Rail Express,IN_TRANSIT,2026-06-30 23:00:44.489038,2026-07-09 23:00:44.489038,,0,False
SHP-000040,ORD-000040,WH-AP-003,USA,USA,DHL Supply Chain,Sea Freight,IN_TRANSIT,2026-08-03 02:00:44.489038,2026-08-10 02:00:44.489038,,0,False
SHP-000041,ORD-000041,WH-EU-001,Taiwan,Taiwan,DB Schenker,Air Freight,DELIVERED,2026-07-04 06:00:44.489038,2026-07-07 06:00:44.489038,2026-07-08 06:00:44.489038,24,True
SHP-000042,ORD-000042,WH-ME-001,USA,USA,UPS Supply Chain,Sea Freight,CUSTOMS_HOLD,2026-07-28 00:00:44.489038,2026-07-31 00:00:44.489038,,0,False
SHP-000043,ORD-000043,WH-AP-003,Taiwan,Taiwan,DHL Supply Chain,Sea Freight,DELAYED,2026-07-29 05:00:44.489038,2026-08-03 05:00:44.489038,,0,False
SHP-000044,ORD-000044,WH-ME-001,USA,USA,Kuehne + Nagel,Sea Freight,IN_TRANSIT,2026-08-07 19:00:44.489038,2026-08-13 19:00:44.489038,,0,False
SHP-000045,ORD-000045,WH-EU-001,Germany,Germany,Kuehne + Nagel,Rail Express,IN_TRANSIT,2026-08-11 12:00:44.489038,2026-08-20 12:00:44.489038,,0,False
SHP-000046,ORD-000046,WH-AP-001,UK,UK,Cosco Shipping,Road Truckload,DELIVERED,2026-07-20 17:00:44.489038,2026-07-23 17:00:44.489038,2026-07-24 17:00:44.489038,24,True
SHP-000047,ORD-000047,WH-AP-001,Japan,Japan,DB Schenker,Sea Freight,IN_TRANSIT,2026-08-07 23:00:44.489038,2026-08-13 23:00:44.489038,,0,False
SHP-000048,ORD-000048,WH-SA-001,Japan,Japan,DB Schenker,Air Freight,IN_TRANSIT,2026-07-28 14:00:44.489038,2026-08-02 14:00:44.489038,,0,False
SHP-000049,ORD-000049,WH-EU-001,UK,UK,FedEx Express Air,Rail Express,IN_TRANSIT,2026-07-06 21:00:44.489038,2026-07-11 21:00:44.489038,,0,False
SHP-000050,ORD-000050,WH-AP-003,Germany,Germany,DB Schenker,Air Freight,DELIVERED,2026-07-26 20:00:44.489038,2026-08-04 20:00:44.489038,2026-08-04 20:00:44.489038,0,False
SHP-000051,ORD-000051,WH-EU-001,Switzerland,Switzerland,Maersk Ocean,Road Truckload,DELIVERED,2026-07-06 01:00:44.489038,2026-07-11 01:00:44.489038,2026-07-11 01:00:44.489038,0,False
SHP-000052,ORD-000052,WH-US-001,Germany,Germany,UPS Supply Chain,Air Freight,DELIVERED,2026-07-26 05:00:44.489038,2026-08-05 05:00:44.489038,2026-08-07 05:00:44.489038,48,True
SHP-000053,ORD-000053,WH-US-001,Japan,Japan,Maersk Ocean,Road Truckload,CUSTOMS_HOLD,2026-06-30 12:00:44.489038,2026-07-08 12:00:44.489038,,0,False
SHP-000054,ORD-000054,WH-AP-002,USA,USA,UPS Supply Chain,Rail Express,IN_TRANSIT,2026-08-07 04:00:44.489038,2026-08-17 04:00:44.489038,,0,False
SHP-000055,ORD-000055,WH-AP-003,USA,USA,DHL Supply Chain,Sea Freight,IN_TRANSIT,2026-08-05 20:00:44.489038,2026-08-14 20:00:44.489038,,0,False
SHP-000056,ORD-000056,WH-ME-001,Japan,Japan,Cosco Shipping,Sea Freight,DELIVERED,2026-07-03 16:00:44.489038,2026-07-12 16:00:44.489038,2026-07-13 04:00:44.489038,12,True
SHP-000057,ORD-000057,WH-EU-002,Australia,Australia,DHL Supply Chain,Rail Express,IN_TRANSIT,2026-07-20 03:00:44.489038,2026-07-27 03:00:44.489038,,0,False
SHP-000058,ORD-000058,WH-EU-001,Taiwan,Taiwan,UPS Supply Chain,Sea Freight,CUSTOMS_HOLD,2026-07-26 08:00:44.489038,2026-08-05 08:00:44.489038,,0,False
SHP-000059,ORD-000059,WH-AP-002,Switzerland,Switzerland,DB Schenker,Air Freight,DELIVERED,2026-08-02 11:00:44.489038,2026-08-11 11:00:44.489038,2026-08-11 11:00:44.489038,0,False
SHP-000060,ORD-000060,WH-SA-001,UK,UK,Kuehne + Nagel,Road Truckload,DELIVERED,2026-08-09 16:00:44.489038,2026-08-18 16:00:44.489038,2026-08-18 16:00:44.489038,0,False
SHP-000061,ORD-000061,WH-ME-001,Japan,Japan,DHL Supply Chain,Sea Freight,DELIVERED,2026-08-13 02:00:44.489038,2026-08-19 02:00:44.489038,2026-08-21 02:00:44.489038,48,True
SHP-000062,ORD-000062,WH-SA-001,Japan,Japan,FedEx Express Air,Road Truckload,IN_TRANSIT,2026-07-29 13:00:44.489038,2026-08-07 13:00:44.489038,,0,False
SHP-000063,ORD-000063,WH-EU-002,USA,USA,Cosco Shipping,Road Truckload,IN_TRANSIT,2026-07-26 16:00:44.489038,2026-08-03 16:00:44.489038,,0,False
SHP-000064,ORD-000064,WH-AP-001,USA,USA,UPS Supply Chain,Road Truckload,DELAYED,2026-07-17 10:00:44.489038,2026-07-23 10:00:44.489038,,0,False
SHP-000065,ORD-000065,WH-EU-002,USA,USA,Maersk Ocean,Sea Freight,DELIVERED,2026-07-09 08:00:44.489038,2026-07-15 08:00:44.489038,2026-07-15 08:00:44.489038,0,False
SHP-000066,ORD-000066,WH-AP-001,Japan,Japan,DHL Supply Chain,Sea Freight,DELIVERED,2026-08-11 21:00:44.489038,2026-08-14 21:00:44.489038,2026-08-14 21:00:44.489038,0,False
SHP-000067,ORD-000067,WH-US-001,UK,UK,Maersk Ocean,Road Truckload,DELIVERED,2026-08-10 05:00:44.489038,2026-08-18 05:00:44.489038,2026-08-18 05:00:44.489038,0,False
SHP-000068,ORD-000068,WH-SA-001,USA,USA,UPS Supply Chain,Rail Express,DELIVERED,2026-08-08 08:00:44.489038,2026-08-11 08:00:44.489038,2026-08-11 08:00:44.489038,0,False
SHP-000069,ORD-000069,WH-AU-001,USA,USA,UPS Supply Chain,Air Freight,DELIVERED,2026-08-01 23:00:44.489038,2026-08-11 23:00:44.489038,2026-08-11 23:00:44.489038,0,False
SHP-000070,ORD-000070,WH-AP-003,Japan,Japan,Cosco Shipping,Rail Express,IN_TRANSIT,2026-08-12 15:00:44.489038,2026-08-15 15:00:44.489038,,0,False
SHP-000071,ORD-000071,WH-US-002,USA,USA,DHL Supply Chain,Air Freight,DELIVERED,2026-07-06 01:00:44.489038,2026-07-10 01:00:44.489038,2026-07-10 01:00:44.489038,0,False
SHP-000072,ORD-000072,WH-AU-001,USA,USA,Maersk Ocean,Rail Express,IN_TRANSIT,2026-07-28 12:00:44.489038,2026-08-02 12:00:44.489038,,0,False
SHP-000073,ORD-000073,WH-EU-001,USA,USA,Maersk Ocean,Road Truckload,IN_TRANSIT,2026-07-19 15:00:44.489038,2026-07-26 15:00:44.489038,,0,False
SHP-000074,ORD-000074,WH-AU-001,Switzerland,Switzerland,UPS Supply Chain,Road Truckload,DELIVERED,2026-08-08 22:00:44.489038,2026-08-16 22:00:44.489038,2026-08-16 22:00:44.489038,0,False
SHP-000075,ORD-000075,WH-EU-001,Japan,Japan,Cosco Shipping,Rail Express,DELIVERED,2026-08-11 01:00:44.489038,2026-08-19 01:00:44.489038,2026-08-19 01:00:44.489038,0,False
SHP-000076,ORD-000076,WH-AP-002,Australia,Australia,Maersk Ocean,Rail Express,DELIVERED,2026-07-21 05:00:44.489038,2026-07-25 05:00:44.489038,2026-07-25 05:00:44.489038,0,False
SHP-000077,ORD-000077,WH-SA-001,Japan,Japan,Kuehne + Nagel,Road Truckload,IN_TRANSIT,2026-08-04 17:00:44.489038,2026-08-10 17:00:44.489038,,0,False
SHP-000078,ORD-000078,WH-SA-001,USA,USA,Kuehne + Nagel,Road Truckload,DELIVERED,2026-07-21 03:00:44.489038,2026-07-25 03:00:44.489038,2026-07-27 03:00:44.489038,48,True
SHP-000079,ORD-000079,WH-ME-001,Australia,Australia,UPS Supply Chain,Sea Freight,DELAYED,2026-07-26 21:00:44.489038,2026-07-30 21:00:44.489038,,0,False
SHP-000080,ORD-000080,WH-SA-001,USA,USA,UPS Supply Chain,Road Truckload,DELIVERED,2026-07-23 10:00:44.489038,2026-08-02 10:00:44.489038,2026-08-02 10:00:44.489038,0,False
SHP-000081,ORD-000081,WH-US-001,USA,USA,UPS Supply Chain,Air Freight,DELAYED,2026-07-17 02:00:44.489038,2026-07-23 02:00:44.489038,,0,False
SHP-000082,ORD-000082,WH-AP-002,USA,USA,DB Schenker,Rail Express,CUSTOMS_HOLD,2026-06-30 19:00:44.489038,2026-07-07 19:00:44.489038,,0,False
SHP-000083,ORD-000083,WH-ME-001,UK,UK,Maersk Ocean,Sea Freight,IN_TRANSIT,2026-07-04 05:00:44.489038,2026-07-13 05:00:44.489038,,0,False
SHP-000084,ORD-000084,WH-ME-001,USA,USA,UPS Supply Chain,Sea Freight,DELIVERED,2026-08-07 21:00:44.489038,2026-08-17 21:00:44.489038,2026-08-17 21:00:44.489038,0,False
SHP-000085,ORD-000085,WH-AP-001,USA,USA,Maersk Ocean,Rail Express,DELIVERED,2026-08-13 18:00:44.489038,2026-08-16 18:00:44.489038,2026-08-17 06:00:44.489038,12,True
SHP-000086,ORD-000086,WH-EU-001,Switzerland,Switzerland,Kuehne + Nagel,Sea Freight,DELIVERED,2026-07-22 11:00:44.489038,2026-07-31 11:00:44.489038,2026-08-02 11:00:44.489038,48,True
SHP-000087,ORD-000087,WH-AP-003,USA,USA,Kuehne + Nagel,Air Freight,DELIVERED,2026-07-28 00:00:44.489038,2026-08-01 00:00:44.489038,2026-08-01 00:00:44.489038,0,False
SHP-000088,ORD-000088,WH-AP-003,Switzerland,Switzerland,FedEx Express Air,Sea Freight,DELIVERED,2026-07-04 22:00:44.489038,2026-07-12 22:00:44.489038,2026-07-12 22:00:44.489038,0,False
SHP-000089,ORD-000089,WH-AU-001,Switzerland,Switzerland,Cosco Shipping,Rail Express,DELIVERED,2026-08-09 02:00:44.489038,2026-08-12 02:00:44.489038,2026-08-14 02:00:44.489038,48,True
SHP-000090,ORD-000090,WH-SA-001,Australia,Australia,Cosco Shipping,Air Freight,DELIVERED,2026-07-15 16:00:44.489038,2026-07-23 16:00:44.489038,2026-07-24 04:00:44.489038,12,True
SHP-000091,ORD-000091,WH-US-002,Japan,Japan,DHL Supply Chain,Road Truckload,DELIVERED,2026-07-07 20:00:44.489038,2026-07-15 20:00:44.489038,2026-07-15 20:00:44.489038,0,False
SHP-000092,ORD-000092,WH-SA-001,Switzerland,Switzerland,DB Schenker,Air Freight,DELAYED,2026-07-09 07:00:44.489038,2026-07-17 07:00:44.489038,,0,False
SHP-000093,ORD-000093,WH-AP-003,Taiwan,Taiwan,DHL Supply Chain,Rail Express,IN_TRANSIT,2026-08-11 20:00:44.489038,2026-08-14 20:00:44.489038,,0,False
SHP-000094,ORD-000094,WH-AP-002,USA,USA,DHL Supply Chain,Sea Freight,CUSTOMS_HOLD,2026-07-14 01:00:44.489038,2026-07-23 01:00:44.489038,,0,False
SHP-000095,ORD-000095,WH-AU-001,USA,USA,DB Schenker,Sea Freight,DELAYED,2026-07-02 19:00:44.489038,2026-07-09 19:00:44.489038,,0,False
SHP-000096,ORD-000096,WH-EU-002,Taiwan,Taiwan,UPS Supply Chain,Rail Express,IN_TRANSIT,2026-07-11 13:00:44.489038,2026-07-16 13:00:44.489038,,0,False
SHP-000097,ORD-000097,WH-US-001,Japan,Japan,Kuehne + Nagel,Road Truckload,IN_TRANSIT,2026-08-10 12:00:44.489038,2026-08-19 12:00:44.489038,,0,False
SHP-000098,ORD-000098,WH-EU-001,Germany,Germany,Kuehne + Nagel,Rail Express,IN_TRANSIT,2026-07-18 02:00:44.489038,2026-07-27 02:00:44.489038,,0,False
SHP-000099,ORD-000099,WH-US-002,USA,USA,DB Schenker,Sea Freight,DELIVERED,2026-07-11 08:00:44.489038,2026-07-17 08:00:44.489038,2026-07-18 08:00:44.489038,24,True
SHP-000100,ORD-000100,WH-US-002,UK,UK,Kuehne + Nagel,Road Truckload,DELIVERED,2026-07-14 06:00:44.489038,2026-07-21 06:00:44.489038,2026-07-21 06:00:44.489038,0,False
SHP-000101,ORD-000101,WH-SA-001,Australia,Australia,UPS Supply Chain,Air Freight,DELIVERED,2026-07-01 15:00:44.489038,2026-07-10 15:00:44.489038,2026-07-10 15:00:44.489038,0,False
SHP-000102,ORD-000102,WH-EU-001,Japan,Japan,Kuehne + Nagel,Air Freight,IN_TRANSIT,2026-07-08 22:00:44.489038,2026-07-18 22:00:44.489038,,0,False
SHP-000103,ORD-000103,WH-ME-001,USA,USA,FedEx Express Air,Rail Express,DELIVERED,2026-07-10 03:00:44.489038,2026-07-16 03:00:44.489038,2026-07-16 03:00:44.489038,0,False
SHP-000104,ORD-000104,WH-AP-002,USA,USA,Maersk Ocean,Sea Freight,DELIVERED,2026-07-10 19:00:44.489038,2026-07-18 19:00:44.489038,2026-07-19 07:00:44.489038,12,True
SHP-000105,ORD-000105,WH-EU-001,Australia,Australia,UPS Supply Chain,Sea Freight,IN_TRANSIT,2026-07-24 16:00:44.489038,2026-08-01 16:00:44.489038,,0,False
SHP-000106,ORD-000106,WH-EU-001,UK,UK,FedEx Express Air,Road Truckload,DELIVERED,2026-07-10 12:00:44.489038,2026-07-20 12:00:44.489038,2026-07-20 12:00:44.489038,0,False
SHP-000107,ORD-000107,WH-AP-002,Japan,Japan,Kuehne + Nagel,Air Freight,DELIVERED,2026-07-19 19:00:44.489038,2026-07-24 19:00:44.489038,2026-07-25 19:00:44.489038,24,True
SHP-000108,ORD-000108,WH-EU-001,USA,USA,Kuehne + Nagel,Road Truckload,DELAYED,2026-07-19 15:00:44.489038,2026-07-26 15:00:44.489038,,0,False
SHP-000109,ORD-000109,WH-SA-001,Japan,Japan,DHL Supply Chain,Rail Express,DELIVERED,2026-07-31 01:00:44.489038,2026-08-04 01:00:44.489038,2026-08-06 01:00:44.489038,48,True
SHP-000110,ORD-000110,WH-ME-001,Switzerland,Switzerland,DHL Supply Chain,Rail Express,DELIVERED,2026-07-19 19:00:44.489038,2026-07-28 19:00:44.489038,2026-07-29 07:00:44.489038,12,True
SHP-000111,ORD-000111,WH-AP-002,USA,USA,DHL Supply Chain,Sea Freight,DELIVERED,2026-08-11 06:00:44.489038,2026-08-20 06:00:44.489038,2026-08-20 06:00:44.489038,0,False
SHP-000112,ORD-000112,WH-SA-001,USA,USA,DHL Supply Chain,Sea Freight,DELIVERED,2026-08-10 03:00:44.489038,2026-08-17 03:00:44.489038,2026-08-17 15:00:44.489038,12,True
SHP-000113,ORD-000113,WH-AP-001,Switzerland,Switzerland,Kuehne + Nagel,Road Truckload,IN_TRANSIT,2026-08-09 00:00:44.489038,2026-08-14 00:00:44.489038,,0,False
SHP-000114,ORD-000114,WH-EU-001,Australia,Australia,DB Schenker,Sea Freight,IN_TRANSIT,2026-07-19 14:00:44.489038,2026-07-23 14:00:44.489038,,0,False
SHP-000115,ORD-000115,WH-US-001,Taiwan,Taiwan,UPS Supply Chain,Sea Freight,IN_TRANSIT,2026-07-02 10:00:44.489038,2026-07-09 10:00:44.489038,,0,False
SHP-000116,ORD-000116,WH-EU-002,Germany,Germany,Cosco Shipping,Road Truckload,IN_TRANSIT,2026-08-08 15:00:44.489038,2026-08-16 15:00:44.489038,,0,False
SHP-000117,ORD-000117,WH-ME-001,UK,UK,Kuehne + Nagel,Sea Freight,DELIVERED,2026-07-12 04:00:44.489038,2026-07-21 04:00:44.489038,2026-07-21 04:00:44.489038,0,False
SHP-000118,ORD-000118,WH-US-001,Japan,Japan,Kuehne + Nagel,Road Truckload,DELIVERED,2026-07-10 17:00:44.489038,2026-07-14 17:00:44.489038,2026-07-15 05:00:44.489038,12,True
SHP-000119,ORD-000119,WH-ME-001,USA,USA,UPS Supply Chain,Air Freight,DELIVERED,2026-08-04 09:00:44.489038,2026-08-13 09:00:44.489038,2026-08-13 21:00:44.489038,12,True
SHP-000120,ORD-000120,WH-EU-002,Switzerland,Switzerland,FedEx Express Air,Rail Express,DELIVERED,2026-07-15 06:00:44.489038,2026-07-25 06:00:44.489038,2026-07-25 18:00:44.489038,12,True
SHP-000121,ORD-000121,WH-US-002,USA,USA,DHL Supply Chain,Road Truckload,DELIVERED,2026-07-18 11:00:44.489038,2026-07-22 11:00:44.489038,2026-07-23 11:00:44.489038,24,True
SHP-000122,ORD-000122,WH-US-001,Germany,Germany,FedEx Express Air,Sea Freight,DELIVERED,2026-08-04 12:00:44.489038,2026-08-07 12:00:44.489038,2026-08-07 12:00:44.489038,0,False
SHP-000123,ORD-000123,WH-AP-001,Switzerland,Switzerland,DB Schenker,Sea Freight,DELIVERED,2026-08-12 01:00:44.489038,2026-08-18 01:00:44.489038,2026-08-19 01:00:44.489038,24,True
SHP-000124,ORD-000124,WH-AP-001,USA,USA,Cosco Shipping,Air Freight,DELIVERED,2026-07-09 01:00:44.489038,2026-07-18 01:00:44.489038,2026-07-18 01:00:44.489038,0,False
SHP-000125,ORD-000125,WH-US-002,USA,USA,FedEx Express Air,Air Freight,DELIVERED,2026-07-20 11:00:44.489038,2026-07-27 11:00:44.489038,2026-07-27 11:00:44.489038,0,False
SHP-000126,ORD-000126,WH-US-001,USA,USA,Maersk Ocean,Rail Express,DELIVERED,2026-07-31 07:00:44.489038,2026-08-09 07:00:44.489038,2026-08-09 07:00:44.489038,0,False
SHP-000127,ORD-000127,WH-ME-001,Japan,Japan,Kuehne + Nagel,Sea Freight,CUSTOMS_HOLD,2026-07-16 20:00:44.489038,2026-07-26 20:00:44.489038,,0,False
SHP-000128,ORD-000128,WH-AP-002,Australia,Australia,FedEx Express Air,Sea Freight,IN_TRANSIT,2026-07-09 07:00:44.489038,2026-07-14 07:00:44.489038,,0,False
SHP-000129,ORD-000129,WH-US-002,Japan,Japan,DB Schenker,Sea Freight,IN_TRANSIT,2026-08-08 02:00:44.489038,2026-08-14 02:00:44.489038,,0,False
SHP-000130,ORD-000130,WH-US-002,UK,UK,DHL Supply Chain,Rail Express,DELIVERED,2026-07-30 20:00:44.489038,2026-08-05 20:00:44.489038,2026-08-05 20:00:44.489038,0,False
SHP-000131,ORD-000131,WH-EU-001,Switzerland,Switzerland,DB Schenker,Air Freight,IN_TRANSIT,2026-07-16 22:00:44.489038,2026-07-26 22:00:44.489038,,0,False
SHP-000132,ORD-000132,WH-EU-001,Japan,Japan,Maersk Ocean,Rail Express,DELIVERED,2026-07-19 14:00:44.489038,2026-07-22 14:00:44.489038,2026-07-24 14:00:44.489038,48,True
SHP-000133,ORD-000133,WH-AP-003,Japan,Japan,UPS Supply Chain,Road Truckload,DELIVERED,2026-07-04 13:00:44.489038,2026-07-08 13:00:44.489038,2026-07-08 13:00:44.489038,0,False
SHP-000134,ORD-000134,WH-AP-001,Japan,Japan,DHL Supply Chain,Sea Freight,DELIVERED,2026-07-14 13:00:44.489038,2026-07-22 13:00:44.489038,2026-07-22 13:00:44.489038,0,False
SHP-000135,ORD-000135,WH-EU-001,Germany,Germany,UPS Supply Chain,Sea Freight,IN_TRANSIT,2026-07-08 22:00:44.489038,2026-07-12 22:00:44.489038,,0,False
SHP-000136,ORD-000136,WH-EU-001,UK,UK,FedEx Express Air,Road Truckload,DELIVERED,2026-07-31 10:00:44.489038,2026-08-06 10:00:44.489038,2026-08-07 10:00:44.489038,24,True
SHP-000137,ORD-000137,WH-EU-002,USA,USA,UPS Supply Chain,Rail Express,IN_TRANSIT,2026-07-23 21:00:44.489038,2026-07-30 21:00:44.489038,,0,False
SHP-000138,ORD-000138,WH-EU-001,Switzerland,Switzerland,Maersk Ocean,Road Truckload,DELIVERED,2026-07-25 08:00:44.489038,2026-07-29 08:00:44.489038,2026-07-29 08:00:44.489038,0,False
SHP-000139,ORD-000139,WH-US-001,USA,USA,Maersk Ocean,Rail Express,DELIVERED,2026-08-10 10:00:44.489038,2026-08-16 10:00:44.489038,2026-08-16 10:00:44.489038,0,False
