inventory_id,warehouse_id,product_id,quantity_on_hand,reorder_level,safety_stock,last_counted_at,raw_payload
INV-00058,WH-AP-002,PROD-008,234,250,121,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00058"", ""qty"": 234}"
INV-00059,WH-AP-002,PROD-009,214,127,77,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00059"", ""qty"": 214}"
INV-00060,WH-AP-002,PROD-010,286,105,93,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00060"", ""qty"": 286}"
INV-00061,WH-AP-003,PROD-001,908,179,114,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00061"", ""qty"": 908}"
INV-00062,WH-AP-003,PROD-002,789,235,116,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00062"", ""qty"": 789}"
INV-00063,WH-AP-003,PROD-003,379,103,57,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00063"", ""qty"": 379}"
INV-00064,WH-AP-003,PROD-004,943,268,87,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00064"", ""qty"": 943}"
INV-00065,WH-AP-003,PROD-005,1346,300,65,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00065"", ""qty"": 1346}"
INV-00066,WH-AP-003,PROD-006,284,185,97,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00066"", ""qty"": 284}"
INV-00067,WH-AP-003,PROD-007,477,274,72,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00067"", ""qty"": 477}"
INV-00068,WH-AP-003,PROD-008,1236,243,118,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00068"", ""qty"": 1236}"
INV-00069,WH-AP-003,PROD-009,1006,174,137,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00069"", ""qty"": 1006}"
INV-00070,WH-AP-003,PROD-010,652,180,91,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00070"", ""qty"": 652}"
INV-00071,WH-ME-001,PROD-001,1134,275,58,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00071"", ""qty"": 1134}"
INV-00072,WH-ME-001,PROD-002,85,291,114,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00072"", ""qty"": 85}"
INV-00073,WH-ME-001,PROD-003,540,289,115,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00073"", ""qty"": 540}"
INV-00074,WH-ME-001,PROD-004,1297,113,74,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00074"", ""qty"": 1297}"
INV-00075,WH-ME-001,PROD-005,649,141,73,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00075"", ""qty"": 649}"
INV-00076,WH-ME-001,PROD-006,428,179,84,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00076"", ""qty"": 428}"
INV-00077,WH-ME-001,PROD-007,1090,194,75,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00077"", ""qty"": 1090}"
INV-00078,WH-ME-001,PROD-008,805,222,135,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00078"", ""qty"": 805}"
INV-00079,WH-ME-001,PROD-009,1218,193,50,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00079"", ""qty"": 1218}"
INV-00080,WH-ME-001,PROD-010,1147,225,117,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00080"", ""qty"": 1147}"
INV-00081,WH-SA-001,PROD-001,162,187,122,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00081"", ""qty"": 162}"
INV-00082,WH-SA-001,PROD-002,379,187,90,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00082"", ""qty"": 379}"
INV-00083,WH-SA-001,PROD-003,1424,174,141,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00083"", ""qty"": 1424}"
INV-00084,WH-SA-001,PROD-004,427,170,142,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00084"", ""qty"": 427}"
INV-00085,WH-SA-001,PROD-005,1050,170,68,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00085"", ""qty"": 1050}"
INV-00086,WH-SA-001,PROD-006,1368,246,134,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00086"", ""qty"": 1368}"
INV-00087,WH-SA-001,PROD-007,838,152,66,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00087"", ""qty"": 838}"
INV-00088,WH-SA-001,PROD-008,931,182,69,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00088"", ""qty"": 931}"
INV-00089,WH-SA-001,PROD-009,532,233,50,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00089"", ""qty"": 532}"
INV-00090,WH-SA-001,PROD-010,906,141,136,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00090"", ""qty"": 906}"
INV-00091,WH-AU-001,PROD-001,145,147,92,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00091"", ""qty"": 145}"
INV-00092,WH-AU-001,PROD-002,1243,211,130,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00092"", ""qty"": 1243}"
INV-00093,WH-AU-001,PROD-003,151,203,81,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00093"", ""qty"": 151}"
INV-00094,WH-AU-001,PROD-004,1164,208,77,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00094"", ""qty"": 1164}"
INV-00095,WH-AU-001,PROD-005,783,218,64,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00095"", ""qty"": 783}"
INV-00096,WH-AU-001,PROD-006,430,127,104,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00096"", ""qty"": 430}"
INV-00097,WH-AU-001,PROD-007,132,211,116,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00097"", ""qty"": 132}"
INV-00098,WH-AU-001,PROD-008,1184,242,126,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00098"", ""qty"": 1184}"
INV-00099,WH-AU-001,PROD-009,590,174,141,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00099"", ""qty"": 590}"
INV-00100,WH-AU-001,PROD-010,1173,213,75,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00100"", ""qty"": 1173}"
