event_id,shipment_id,device_id,latitude,longitude,temperature_c,humidity_pct,battery_level,recorded_at,raw_payload
IOT-0000018,SHP-000139,DEV-160,34.093007,-120.106629,2.16,60.19,84,2026-08-31T09:37:20.247341,"{""event_id"": ""IOT-0000018"", ""temp"": 2.158826788956286, ""lat"": 34.093007177218205, ""lon"": -120.10662913343833}"
IOT-0000019,SHP-000356,DEV-807,29.931671,123.380568,4.58,73.32,34,2026-08-28T07:46:20.247341,"{""event_id"": ""IOT-0000019"", ""temp"": 4.576198091207153, ""lat"": 29.931671467866245, ""lon"": 123.38056831690305}"
IOT-0000020,SHP-000133,DEV-637,-31.794025,150.935859,5.13,56.50,91,2026-08-29T15:45:20.247341,"{""event_id"": ""IOT-0000020"", ""temp"": 5.134003797086115, ""lat"": -31.794024563007248, ""lon"": 150.93585927105875}"
IOT-0000021,SHP-000364,DEV-195,33.537105,-117.060985,4.58,72.20,67,2026-09-01T05:38:20.247341,"{""event_id"": ""IOT-0000021"", ""temp"": 4.576827841432298, ""lat"": 33.537105109129655, ""lon"": -117.06098454520718}"
IOT-0000022,SHP-000408,DEV-476,32.659342,122.351920,4.23,41.11,81,2026-08-31T11:21:20.247341,"{""event_id"": ""IOT-0000022"", ""temp"": 4.229821635673836, ""lat"": 32.65934154581803, ""lon"": 122.35191959868945}"
IOT-0000023,SHP-000394,DEV-242,50.048436,3.569279,5.07,74.57,100,2026-08-31T16:30:20.247341,"{""event_id"": ""IOT-0000023"", ""temp"": 5.073689259764366, ""lat"": 50.048436123437554, ""lon"": 3.5692794104395276}"
IOT-0000024,SHP-000257,DEV-314,35.352282,-120.634797,10.24,48.30,90,2026-08-29T08:54:20.247341,"{""event_id"": ""IOT-0000024"", ""temp"": 10.235981530780759, ""lat"": 35.35228189440882, ""lon"": -120.63479737049009}"
IOT-0000025,SHP-000321,DEV-890,-32.558731,148.802829,3.29,44.22,44,2026-08-30T08:47:20.247341,"{""event_id"": ""IOT-0000025"", ""temp"": 3.2904163405534157, ""lat"": -32.558731300476005, ""lon"": 148.80282855914515}"
IOT-0000026,SHP-000434,DEV-890,35.421038,140.946123,4.82,73.37,68,2026-09-01T04:22:20.247341,"{""event_id"": ""IOT-0000026"", ""temp"": 4.821322253002863, ""lat"": 35.42103760718553, ""lon"": 140.94612322334555}"
IOT-0000027,SHP-000182,DEV-679,22.784320,54.968061,2.13,69.91,37,2026-08-29T15:15:20.247341,"{""event_id"": ""IOT-0000027"", ""temp"": 2.134853490030346, ""lat"": 22.784319524662084, ""lon"": 54.968060710393985}"
IOT-0000028,SHP-000088,DEV-139,40.676008,-88.561727,3.43,57.62,86,2026-08-30T04:09:20.247341,"{""event_id"": ""IOT-0000028"", ""temp"": 3.427966666522121, ""lat"": 40.67600840892559, ""lon"": -88.5617274544308}"
IOT-0000029,SHP-000008,DEV-375,-23.845632,-45.718300,2.85,66.59,64,2026-08-29T05:45:20.247341,"{""event_id"": ""IOT-0000029"", ""temp"": 2.8542831721602515, ""lat"": -23.84563232393129, ""lon"": -45.718300412471656}"
IOT-0000030,SHP-000159,DEV-675,-21.706632,-47.493932,3.87,40.10,43,2026-08-31T01:05:20.247341,"{""event_id"": ""IOT-0000030"", ""temp"": 3.8672569986168606, ""lat"": -21.706632015663658, ""lon"": -47.49393230398211}"
IOT-0000031,SHP-000258,DEV-375,51.243636,6.444456,5.27,42.19,35,2026-08-30T12:56:20.247341,"{""event_id"": ""IOT-0000031"", ""temp"": 5.273423175037831, ""lat"": 51.24363631255487, ""lon"": 6.444455583246085}"
IOT-0000032,SHP-000053,DEV-789,-33.915152,153.057725,2.00,47.92,16,2026-08-30T08:41:20.247341,"{""event_id"": ""IOT-0000032"", ""temp"": 2.0044398709514337, ""lat"": -33.91515187671625, ""lon"": 153.0577249715712}"
IOT-0000033,SHP-000471,DEV-423,43.777729,-89.353472,3.68,51.61,74,2026-08-28T14:39:20.247341,"{""event_id"": ""IOT-0000033"", ""temp"": 3.6755790556760344, ""lat"": 43.77772876358942, ""lon"": -89.35347213048311}"
IOT-0000034,SHP-000032,DEV-110,35.688615,-119.376903,5.88,40.11,60,2026-08-30T14:15:20.247341,"{""event_id"": ""IOT-0000034"", ""temp"": 5.876575891704924, ""lat"": 35.68861495487723, ""lon"": -119.37690294960811}"
IOT-0000035,SHP-000371,DEV-796,-22.344065,-46.710334,3.28,70.41,83,2026-08-29T05:07:20.247341,"{""event_id"": ""IOT-0000035"", ""temp"": 3.277502852059003, ""lat"": -22.344065126463434, ""lon"": -46.71033367896669}"
IOT-0000036,SHP-000223,DEV-613,39.989193,-87.705832,4.95,60.09,76,2026-08-30T03:25:20.247341,"{""event_id"": ""IOT-0000036"", ""temp"": 4.954658321776728, ""lat"": 39.98919293071237, ""lon"": -87.70583247957856}"
IOT-0000037,SHP-000213,DEV-937,-36.232689,149.585545,2.03,60.61,19,2026-08-29T10:40:20.247341,"{""event_id"": ""IOT-0000037"", ""temp"": 2.030757240063553, ""lat"": -36.23268907787363, ""lon"": 149.5855451980313}"
IOT-0000038,SHP-000384,DEV-750,54.241196,11.467624,3.35,63.67,30,2026-08-29T00:42:20.247341,"{""event_id"": ""IOT-0000038"", ""temp"": 3.348893831213724, ""lat"": 54.24119607512653, ""lon"": 11.467624437783138}"
IOT-0000039,SHP-000338,DEV-178,39.606408,-88.350110,6.03,67.28,43,2026-08-29T05:19:20.247341,"{""event_id"": ""IOT-0000039"", ""temp"": 6.034661063972858, ""lat"": 39.606407705619695, ""lon"": -88.35010953897685}"
IOT-0000040,SHP-000046,DEV-764,41.019965,-88.302029,4.54,64.83,35,2026-08-31T19:09:20.247341,"{""event_id"": ""IOT-0000040"", ""temp"": 4.542371832214387, ""lat"": 41.01996473946919, ""lon"": -88.3020288442694}"
IOT-0000041,SHP-000163,DEV-209,54.000782,11.691053,5.93,52.32,17,2026-08-28T09:13:20.247341,"{""event_id"": ""IOT-0000041"", ""temp"": 5.931217775261089, ""lat"": 54.00078218623698, ""lon"": 11.691053391515648}"
IOT-0000042,SHP-000466,DEV-797,30.731874,122.858812,4.01,44.73,95,2026-08-29T08:19:20.247341,"{""event_id"": ""IOT-0000042"", ""temp"": 4.013535692717902, ""lat"": 30.731874311641093, ""lon"": 122.85881225247059}"
IOT-0000043,SHP-000356,DEV-312,-0.604202,103.623651,11.05,62.97,65,2026-08-30T11:22:20.247341,"{""event_id"": ""IOT-0000043"", ""temp"": 11.052324308431078, ""lat"": -0.6042015509693226, ""lon"": 103.62365107857246}"
IOT-0000044,SHP-000283,DEV-719,51.253076,3.908007,4.58,56.92,59,2026-08-31T19:42:20.247341,"{""event_id"": ""IOT-0000044"", ""temp"": 4.577240780718527, ""lat"": 51.25307635156714, ""lon"": 3.908006844482908}"
IOT-0000045,SHP-000306,DEV-395,36.546161,141.010801,9.01,52.82,96,2026-09-01T10:27:20.247341,"{""event_id"": ""IOT-0000045"", ""temp"": 9.012519022227641, ""lat"": 36.54616119441417, ""lon"": 141.01080076232424}"
IOT-0000046,SHP-000410,DEV-175,30.829804,120.673769,4.00,49.16,41,2026-09-01T03:59:20.247341,"{""event_id"": ""IOT-0000046"", ""temp"": 4.001022452482976, ""lat"": 30.829803916726693, ""lon"": 120.67376936468226}"
IOT-0000047,SHP-000170,DEV-871,27.111531,56.850300,3.34,74.09,52,2026-08-29T01:27:20.247341,"{""event_id"": ""IOT-0000047"", ""temp"": 3.344898240059119, ""lat"": 27.111530796404836, ""lon"": 56.850300214809}"
IOT-0000048,SHP-000254,DEV-487,27.050927,56.560161,4.07,42.00,82,2026-08-30T00:14:20.247341,"{""event_id"": ""IOT-0000048"", ""temp"": 4.0732552981131604, ""lat"": 27.05092717510072, ""lon"": 56.560161066876915}"
IOT-0000049,SHP-000027,DEV-254,-32.228440,152.509461,5.07,56.82,34,2026-09-01T16:46:20.247341,"{""event_id"": ""IOT-0000049"", ""temp"": 5.066460357442994, ""lat"": -32.228439656359996, ""lon"": 152.5094614735903}"
IOT-0000050,SHP-000422,DEV-134,26.235449,54.479679,17.13,46.49,72,2026-09-02T01:40:20.247341,"{""event_id"": ""IOT-0000050"", ""temp"": 17.12565274520147, ""lat"": 26.235448780337574, ""lon"": 54.47967862350888}"
IOT-0000051,SHP-000193,DEV-505,33.055061,123.915789,15.80,41.51,64,2026-08-30T23:26:20.247341,"{""event_id"": ""IOT-0000051"", ""temp"": 15.800729507342691, ""lat"": 33.055061109092144, ""lon"": 123.91578932496853}"
IOT-0000052,SHP-000273,DEV-890,33.260505,139.604090,6.20,68.32,55,2026-09-01T06:00:20.247341,"{""event_id"": ""IOT-0000052"", ""temp"": 6.198337282119787, ""lat"": 33.260504663117075, ""lon"": 139.60409040897068}"
IOT-0000053,SHP-000463,DEV-761,44.077296,-85.719328,4.29,58.06,18,2026-08-28T17:54:20.247341,"{""event_id"": ""IOT-0000053"", ""temp"": 4.286170124426176, ""lat"": 44.077295999439556, ""lon"": -85.71932846973309}"
IOT-0000054,SHP-000475,DEV-768,-32.825107,151.077261,3.61,55.23,79,2026-08-30T23:41:20.247341,"{""event_id"": ""IOT-0000054"", ""temp"": 3.6100994462000022, ""lat"": -32.82510725317134, ""lon"": 151.07726083424814}"
IOT-0000055,SHP-000083,DEV-654,51.904189,5.771875,5.61,51.97,36,2026-08-28T09:20:20.247341,"{""event_id"": ""IOT-0000055"", ""temp"": 5.610114261761017, ""lat"": 51.904188624444636, ""lon"": 5.77187482746303}"
IOT-0000056,SHP-000188,DEV-604,24.334333,55.397794,3.04,46.35,25,2026-08-31T05:20:20.247341,"{""event_id"": ""IOT-0000056"", ""temp"": 3.043717376558747, ""lat"": 24.334333222490564, ""lon"": 55.39779370919842}"
IOT-0000057,SHP-000414,DEV-271,40.561488,-87.330468,5.04,51.49,56,2026-08-31T07:38:20.247341,"{""event_id"": ""IOT-0000057"", ""temp"": 5.04013424790686, ""lat"": 40.56148759078944, ""lon"": -87.33046808479614}"
IOT-0000058,SHP-000037,DEV-691,25.761503,54.346412,6.05,51.23,73,2026-08-30T02:40:20.247341,"{""event_id"": ""IOT-0000058"", ""temp"": 6.049183862494343, ""lat"": 25.761503452532033, ""lon"": 54.34641151079469}"
IOT-0000059,SHP-000218,DEV-405,41.173931,-87.537598,2.82,46.04,98,2026-08-31T09:00:20.247341,"{""event_id"": ""IOT-0000059"", ""temp"": 2.8168788961220628, ""lat"": 41.173931292120486, ""lon"": -87.53759823476625}"
IOT-0000060,SHP-000398,DEV-569,24.516459,54.749235,5.35,53.90,50,2026-08-30T18:16:20.247341,"{""event_id"": ""IOT-0000060"", ""temp"": 5.34699003417417, ""lat"": 24.516458661772102, ""lon"": 54.74923506839949}"
IOT-0000061,SHP-000096,DEV-654,0.200753,105.651370,5.88,40.64,53,2026-08-29T17:57:20.247341,"{""event_id"": ""IOT-0000061"", ""temp"": 5.878593778246898, ""lat"": 0.20075322407333784, ""lon"": 105.65137022046133}"
IOT-0000062,SHP-000282,DEV-918,35.546055,-119.901771,3.83,71.45,40,2026-09-01T08:45:20.247341,"{""event_id"": ""IOT-0000062"", ""temp"": 3.828008099811983, ""lat"": 35.5460549744614, ""lon"": -119.90177138059997}"
IOT-0000063,SHP-000049,DEV-503,-33.709389,151.647987,13.55,49.37,86,2026-08-28T15:25:20.247341,"{""event_id"": ""IOT-0000063"", ""temp"": 13.5517651318807, ""lat"": -33.7093885719758, ""lon"": 151.64798731908394}"
IOT-0000064,SHP-000120,DEV-510,51.482055,5.614850,2.88,68.28,66,2026-09-01T19:39:20.247341,"{""event_id"": ""IOT-0000064"", ""temp"": 2.8818771298372856, ""lat"": 51.48205453451803, ""lon"": 5.6148497604827226}"
IOT-0000065,SHP-000264,DEV-415,51.393797,7.578089,5.42,61.71,51,2026-08-31T02:19:20.247341,"{""event_id"": ""IOT-0000065"", ""temp"": 5.424002748268801, ""lat"": 51.393797480284555, ""lon"": 7.5780887179106875}"
IOT-0000066,SHP-000473,DEV-924,-24.022811,-47.540741,4.39,44.30,21,2026-08-28T15:17:20.247341,"{""event_id"": ""IOT-0000066"", ""temp"": 4.388796338310742, ""lat"": -24.022810603316927, ""lon"": -47.54074125487628}"
IOT-0000067,SHP-000388,DEV-819,-31.903245,151.110363,3.36,49.96,66,2026-08-30T07:05:20.247341,"{""event_id"": ""IOT-0000067"", ""temp"": 3.36317994964668, ""lat"": -31.903244802476358, ""lon"": 151.11036292841902}"
IOT-0000068,SHP-000012,DEV-162,41.632973,-86.959824,14.95,54.23,59,2026-09-01T22:16:20.247341,"{""event_id"": ""IOT-0000068"", ""temp"": 14.94843216278744, ""lat"": 41.632972563199594, ""lon"": -86.95982378019832}"
IOT-0000069,SHP-000044,DEV-137,-23.178903,-47.203975,3.72,69.78,41,2026-08-30T07:13:20.247341,"{""event_id"": ""IOT-0000069"", ""temp"": 3.7166903361581807, ""lat"": -23.17890266165552, ""lon"": -47.203975170335724}"
IOT-0000070,SHP-000001,DEV-197,55.746840,10.889125,4.96,51.73,68,2026-08-29T14:46:20.247341,"{""event_id"": ""IOT-0000070"", ""temp"": 4.962225674019917, ""lat"": 55.74684002637951, ""lon"": 10.889124925019528}"
IOT-0000071,SHP-000338,DEV-351,31.917522,119.750912,5.03,41.55,33,2026-08-28T02:39:20.247341,"{""event_id"": ""IOT-0000071"", ""temp"": 5.027385484933777, ""lat"": 31.917521731117603, ""lon"": 119.75091195815602}"
IOT-0000072,SHP-000022,DEV-754,3.712759,105.600628,5.78,60.45,40,2026-08-28T09:44:20.247341,"{""event_id"": ""IOT-0000072"", ""temp"": 5.776531404455665, ""lat"": 3.7127588268557963, ""lon"": 105.60062842454346}"
IOT-0000073,SHP-000384,DEV-203,-33.923256,149.976511,5.61,49.40,50,2026-08-31T18:46:20.247341,"{""event_id"": ""IOT-0000073"", ""temp"": 5.605643134930165, ""lat"": -33.923256449069, ""lon"": 149.97651062113448}"
IOT-0000074,SHP-000057,DEV-220,2.059158,104.739931,3.25,69.22,66,2026-08-28T08:52:20.247341,"{""event_id"": ""IOT-0000074"", ""temp"": 3.250528007423084, ""lat"": 2.0591584571497856, ""lon"": 104.73993106370108}"
IOT-0000075,SHP-000296,DEV-165,42.367525,-86.313344,5.71,60.14,70,2026-08-30T04:54:20.247341,"{""event_id"": ""IOT-0000075"", ""temp"": 5.712962365947264, ""lat"": 42.3675252261628, ""lon"": -86.3133439417831}"
IOT-0000076,SHP-000396,DEV-816,24.627416,56.417059,2.90,71.86,19,2026-08-29T13:36:20.247341,"{""event_id"": ""IOT-0000076"", ""temp"": 2.904924906390229, ""lat"": 24.62741609129958, ""lon"": 56.41705885930743}"
IOT-0000077,SHP-000253,DEV-816,29.623610,122.606485,13.49,58.85,65,2026-09-01T23:44:20.247341,"{""event_id"": ""IOT-0000077"", ""temp"": 13.486331052678963, ""lat"": 29.62361004942945, ""lon"": 122.60648462846584}"
IOT-0000078,SHP-000430,DEV-224,53.648216,2.607780,6.49,53.31,81,2026-09-01T21:16:20.247341,"{""event_id"": ""IOT-0000078"", ""temp"": 6.488804100699293, ""lat"": 53.64821599586975, ""lon"": 2.6077804837617804}"
IOT-0000079,SHP-000488,DEV-943,25.365717,56.892200,3.57,62.98,97,2026-08-30T08:02:20.247341,"{""event_id"": ""IOT-0000079"", ""temp"": 3.5705435520381292, ""lat"": 25.365717305013465, ""lon"": 56.89220046761936}"
IOT-0000080,SHP-000226,DEV-339,35.031036,138.245531,14.69,47.53,71,2026-09-01T06:00:20.247341,"{""event_id"": ""IOT-0000080"", ""temp"": 14.689225872841504, ""lat"": 35.03103553984366, ""lon"": 138.24553122878228}"
IOT-0000081,SHP-000016,DEV-895,34.333565,139.971252,5.12,45.63,96,2026-08-29T20:41:20.247341,"{""event_id"": ""IOT-0000081"", ""temp"": 5.124690716545686, ""lat"": 34.33356497875403, ""lon"": 139.97125190003936}"
IOT-0000082,SHP-000314,DEV-494,36.467111,140.070747,4.47,45.91,51,2026-09-01T04:57:20.247341,"{""event_id"": ""IOT-0000082"", ""temp"": 4.4675472904435685, ""lat"": 36.46711119835103, ""lon"": 140.07074689398112}"
IOT-0000083,SHP-000345,DEV-936,-34.893230,153.371799,2.92,70.36,21,2026-08-28T14:04:20.247341,"{""event_id"": ""IOT-0000083"", ""temp"": 2.924816217582502, ""lat"": -34.89322962138928, ""lon"": 153.37179867750442}"
IOT-0000084,SHP-000305,DEV-589,49.483165,6.871230,2.05,45.78,36,2026-09-01T11:42:20.247341,"{""event_id"": ""IOT-0000084"", ""temp"": 2.053124581822229, ""lat"": 49.48316490023761, ""lon"": 6.871229934503267}"
IOT-0000085,SHP-000118,DEV-838,34.166652,-118.130323,6.11,70.58,30,2026-08-28T03:11:20.247341,"{""event_id"": ""IOT-0000085"", ""temp"": 6.106225440658722, ""lat"": 34.16665195536899, ""lon"": -118.13032327891054}"
IOT-0000086,SHP-000407,DEV-523,50.326000,3.603954,4.51,70.84,52,2026-08-28T05:21:20.247341,"{""event_id"": ""IOT-0000086"", ""temp"": 4.509795976927251, ""lat"": 50.32600040369723, ""lon"": 3.6039541264937704}"
IOT-0000087,SHP-000259,DEV-872,-26.175492,-46.999064,4.04,64.25,83,2026-08-29T14:50:20.247341,"{""event_id"": ""IOT-0000087"", ""temp"": 4.040065462224691, ""lat"": -26.175491938636156, ""lon"": -46.99906428742522}"
IOT-0000088,SHP-000428,DEV-656,27.676247,55.881308,2.79,57.30,84,2026-08-30T21:12:20.247341,"{""event_id"": ""IOT-0000088"", ""temp"": 2.7858142081286, ""lat"": 27.67624674655137, ""lon"": 55.88130807914732}"
IOT-0000089,SHP-000119,DEV-261,43.605416,-89.812364,2.32,52.07,97,2026-08-30T06:37:20.247341,"{""event_id"": ""IOT-0000089"", ""temp"": 2.318975208537542, ""lat"": 43.605416295407295, ""lon"": -89.81236441370768}"
IOT-0000090,SHP-000142,DEV-469,-0.288065,103.162278,5.16,44.67,55,2026-09-01T10:25:20.247341,"{""event_id"": ""IOT-0000090"", ""temp"": 5.159490815658009, ""lat"": -0.2880649974909075, ""lon"": 103.16227796950699}"
IOT-0000091,SHP-000234,DEV-850,2.073000,104.263560,4.31,62.33,91,2026-08-28T13:55:20.247341,"{""event_id"": ""IOT-0000091"", ""temp"": 4.305267322862208, ""lat"": 2.0730001049936613, ""lon"": 104.26356012634827}"
IOT-0000092,SHP-000343,DEV-682,36.864973,141.957013,12.64,70.72,59,2026-09-01T14:27:20.247341,"{""event_id"": ""IOT-0000092"", ""temp"": 12.644152031303678, ""lat"": 36.864973386700434, ""lon"": 141.95701256629835}"
IOT-0000093,SHP-000057,DEV-114,-24.937093,-48.763169,5.33,56.11,87,2026-09-01T23:16:20.247341,"{""event_id"": ""IOT-0000093"", ""temp"": 5.327448102422185, ""lat"": -24.937093060055442, ""lon"": -48.76316928808193}"
IOT-0000094,SHP-000431,DEV-264,32.933168,119.514888,2.49,48.92,39,2026-08-28T23:21:20.247341,"{""event_id"": ""IOT-0000094"", ""temp"": 2.494062624746247, ""lat"": 32.93316776668897, ""lon"": 119.51488823159437}"
IOT-0000095,SHP-000259,DEV-171,-33.377626,149.768081,6.19,69.92,67,2026-08-28T21:38:20.247341,"{""event_id"": ""IOT-0000095"", ""temp"": 6.193996252284018, ""lat"": -33.37762635723773, ""lon"": 149.76808129014162}"
IOT-0000096,SHP-000100,DEV-466,54.979803,10.336992,3.04,71.45,70,2026-09-02T03:17:20.247341,"{""event_id"": ""IOT-0000096"", ""temp"": 3.04087333703735, ""lat"": 54.97980342159854, ""lon"": 10.336991618598036}"
IOT-0000097,SHP-000361,DEV-963,35.660127,140.454246,2.47,74.76,87,2026-08-30T13:12:20.247341,"{""event_id"": ""IOT-0000097"", ""temp"": 2.467074816211215, ""lat"": 35.6601271048637, ""lon"": 140.45424639327598}"
IOT-0000098,SHP-000111,DEV-633,33.612200,137.664040,4.05,54.83,85,2026-08-30T22:52:20.247341,"{""event_id"": ""IOT-0000098"", ""temp"": 4.05031536967865, ""lat"": 33.61220044247993, ""lon"": 137.66403954970417}"
IOT-0000099,SHP-000500,DEV-780,55.994961,11.754108,2.52,47.64,82,2026-08-28T15:14:20.247341,"{""event_id"": ""IOT-0000099"", ""temp"": 2.524814384660008, ""lat"": 55.99496132110262, ""lon"": 11.754108139716527}"
IOT-0000100,SHP-000228,DEV-311,-22.633086,-44.336686,3.93,59.61,67,2026-08-28T22:49:20.247341,"{""event_id"": ""IOT-0000100"", ""temp"": 3.9347279842682554, ""lat"": -22.633086096403662, ""lon"": -44.336686262776475}"
IOT-0000101,SHP-000384,DEV-192,39.388443,-86.152169,4.68,57.11,17,2026-08-30T03:58:20.247341,"{""event_id"": ""IOT-0000101"", ""temp"": 4.67984127798942, ""lat"": 39.38844301803751, ""lon"": -86.15216902821926}"
IOT-0000102,SHP-000498,DEV-862,41.760420,-88.733790,5.72,43.01,80,2026-08-30T12:15:20.247341,"{""event_id"": ""IOT-0000102"", ""temp"": 5.724006269982196, ""lat"": 41.76041955449775, ""lon"": -88.7337897222885}"
IOT-0000103,SHP-000113,DEV-616,-35.546596,150.148399,2.02,64.03,35,2026-09-01T02:36:20.247341,"{""event_id"": ""IOT-0000103"", ""temp"": 2.020008027533764, ""lat"": -35.54659576959739, ""lon"": 150.14839893987946}"
IOT-0000104,SHP-000347,DEV-105,40.477899,-86.102466,5.20,66.69,82,2026-09-01T12:59:20.247341,"{""event_id"": ""IOT-0000104"", ""temp"": 5.201386436683986, ""lat"": 40.47789931185539, ""lon"": -86.10246616613576}"
IOT-0000105,SHP-000073,DEV-399,25.889375,55.521671,2.09,74.10,34,2026-09-01T13:55:20.247341,"{""event_id"": ""IOT-0000105"", ""temp"": 2.0920316217467034, ""lat"": 25.889375349677323, ""lon"": 55.521670784979065}"
IOT-0000106,SHP-000281,DEV-421,24.548546,54.140179,3.65,54.87,90,2026-08-30T17:29:20.247341,"{""event_id"": ""IOT-0000106"", ""temp"": 3.6478827916496273, ""lat"": 24.54854630657812, ""lon"": 54.14017875763713}"
IOT-0000107,SHP-000133,DEV-199,32.980461,120.282049,3.27,74.42,89,2026-08-28T19:27:20.247341,"{""event_id"": ""IOT-0000107"", ""temp"": 3.274274842632134, ""lat"": 32.98046085355715, ""lon"": 120.28204949889404}"
IOT-0000108,SHP-000314,DEV-575,55.571958,10.179935,2.87,64.11,65,2026-08-28T07:26:20.247341,"{""event_id"": ""IOT-0000108"", ""temp"": 2.869263896420768, ""lat"": 55.5719583851472, ""lon"": 10.179934720844852}"
IOT-0000109,SHP-000345,DEV-727,-24.742622,-47.017499,9.34,54.26,94,2026-08-30T18:39:20.247341,"{""event_id"": ""IOT-0000109"", ""temp"": 9.338536925771146, ""lat"": -24.742622229306036, ""lon"": -47.01749875755713}"
IOT-0000110,SHP-000080,DEV-357,25.306145,54.269637,4.74,52.06,52,2026-08-28T03:30:20.247341,"{""event_id"": ""IOT-0000110"", ""temp"": 4.741198277621816, ""lat"": 25.306145447938633, ""lon"": 54.269636958826176}"
IOT-0000111,SHP-000335,DEV-204,44.205732,-86.263251,3.32,74.23,84,2026-09-01T06:35:20.247341,"{""event_id"": ""IOT-0000111"", ""temp"": 3.3245496438715545, ""lat"": 44.205732164999276, ""lon"": -86.26325055132577}"
IOT-0000112,SHP-000069,DEV-310,35.160421,-116.091121,4.69,56.35,68,2026-08-31T21:05:20.247341,"{""event_id"": ""IOT-0000112"", ""temp"": 4.693111151994634, ""lat"": 35.16042119197286, ""lon"": -116.09112119976848}"
