order_id,customer_id,product_id,supplier_id,quantity,unit_price,currency,order_date,required_date,status,raw_payload
ORD-000017,CUST-008,PROD-008,SUP-010,133,$890.00,USD,2026-07-18T20:27:20.247341,2026-07-23T20:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000017"", ""amount"": 118370.0}"
ORD-000018,CUST-003,PROD-008,SUP-010,176,$890.00,USD,2026-08-29T22:27:20.247341,2026-09-05T22:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000018"", ""amount"": 156640.0}"
ORD-000019,CUST-001,PROD-010,SUP-004,32,$120.00,USD,2026-08-18T11:27:20.247341,2026-09-02T11:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000019"", ""amount"": 3840.0}"
ORD-000020,CUST-010,PROD-010,SUP-004,122,$120.00,USD,2026-08-21T04:27:20.247341,2026-08-29T04:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000020"", ""amount"": 14640.0}"
ORD-000021,CUST-008,PROD-007,SUP-015,160,$3200.00,USD,2026-08-19T03:27:20.247341,2026-08-26T03:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000021"", ""amount"": 512000.0}"
ORD-000022,CUST-006,PROD-004,SUP-012,183,$4800.00,USD,2026-08-16T06:27:20.247341,2026-08-23T06:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000022"", ""amount"": 878400.0}"
ORD-000023,CUST-009,PROD-009,SUP-015,49,$3400.00,USD,2026-08-08T20:27:20.247341,2026-08-23T20:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000023"", ""amount"": 166600.0}"
ORD-000024,CUST-002,PROD-008,SUP-010,164,$890.00,USD,2026-07-19T22:27:20.247341,2026-07-27T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000024"", ""amount"": 145960.0}"
ORD-000025,CUST-004,PROD-005,SUP-008,55,$2100.00,USD,2026-08-26T13:27:20.247341,2026-09-06T13:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000025"", ""amount"": 115500.0}"
ORD-000026,CUST-009,PROD-009,SUP-015,195,$3400.00,USD,2026-08-26T22:27:20.247341,2026-09-03T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000026"", ""amount"": 663000.0}"
ORD-000027,CUST-003,PROD-008,SUP-010,103,$890.00,USD,2026-08-15T22:27:20.247341,2026-08-25T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000027"", ""amount"": 91670.0}"
ORD-000028,CUST-010,PROD-002,SUP-015,85,$350.00,USD,2026-08-12T09:27:20.247341,2026-08-23T09:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000028"", ""amount"": 29750.0}"
ORD-000029,CUST-005,PROD-006,SUP-013,36,$1800.00,USD,2026-08-01T10:27:20.247341,2026-08-09T10:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000029"", ""amount"": 64800.0}"
ORD-000030,CUST-010,PROD-005,SUP-008,168,$2100.00,USD,2026-08-29T19:27:20.247341,2026-09-05T19:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000030"", ""amount"": 352800.0}"
ORD-000031,CUST-006,PROD-006,SUP-013,176,$1800.00,USD,2026-08-12T20:27:20.247341,2026-08-21T20:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000031"", ""amount"": 316800.0}"
ORD-000032,CUST-006,PROD-010,SUP-004,132,$120.00,USD,2026-07-23T11:27:20.247341,2026-07-30T11:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000032"", ""amount"": 15840.0}"
ORD-000033,CUST-009,PROD-004,SUP-012,53,$4800.00,USD,2026-08-24T07:27:20.247341,2026-09-01T07:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000033"", ""amount"": 254400.0}"
ORD-000034,CUST-007,PROD-003,SUP-013,191,$45.00,USD,2026-08-31T22:27:20.247341,2026-09-09T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000034"", ""amount"": 8595.0}"
ORD-000035,CUST-010,PROD-005,SUP-008,180,$2100.00,USD,2026-08-17T10:27:20.247341,2026-08-22T10:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000035"", ""amount"": 378000.0}"
ORD-000036,CUST-010,PROD-005,SUP-008,11,$2100.00,USD,2026-08-27T19:27:20.247341,2026-09-09T19:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000036"", ""amount"": 23100.0}"
ORD-000037,CUST-006,PROD-003,SUP-013,36,$45.00,USD,2026-08-15T05:27:20.247341,2026-08-22T05:27:20.247341,DELAYED,"{""order_id"": ""ORD-000037"", ""amount"": 1620.0}"
ORD-000038,CUST-004,PROD-010,SUP-004,32,$120.00,USD,2026-08-08T09:27:20.247341,2026-08-20T09:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000038"", ""amount"": 3840.0}"
ORD-000039,CUST-007,PROD-007,SUP-015,126,$3200.00,USD,2026-08-27T03:27:20.247341,2026-09-08T03:27:20.247341,DELAYED,"{""order_id"": ""ORD-000039"", ""amount"": 403200.0}"
ORD-000040,CUST-008,PROD-004,SUP-012,122,$4800.00,USD,2026-07-20T13:27:20.247341,2026-07-30T13:27:20.247341,DELAYED,"{""order_id"": ""ORD-000040"", ""amount"": 585600.0}"
ORD-000041,CUST-001,PROD-005,SUP-008,152,$2100.00,USD,2026-08-06T05:27:20.247341,2026-08-21T05:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000041"", ""amount"": 319200.0}"
ORD-000042,CUST-001,PROD-010,SUP-004,149,$120.00,USD,2026-07-30T11:27:20.247341,2026-08-14T11:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000042"", ""amount"": 17880.0}"
ORD-000043,CUST-003,PROD-002,SUP-015,36,$350.00,USD,2026-08-08T17:27:20.247341,2026-08-17T17:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000043"", ""amount"": 12600.0}"
ORD-000044,CUST-004,PROD-010,SUP-004,136,$120.00,USD,2026-08-25T18:27:20.247341,2026-09-05T18:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000044"", ""amount"": 16320.0}"
ORD-000045,CUST-003,PROD-001,SUP-010,136,$1250.00,USD,2026-08-12T13:27:20.247341,2026-08-22T13:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000045"", ""amount"": 170000.0}"
ORD-000046,CUST-008,PROD-005,SUP-008,82,$2100.00,USD,2026-08-11T17:27:20.247341,2026-08-17T17:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000046"", ""amount"": 172200.0}"
ORD-000047,CUST-010,PROD-002,SUP-015,175,$350.00,USD,2026-07-28T20:27:20.247341,2026-08-08T20:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000047"", ""amount"": 61250.0}"
ORD-000048,CUST-010,PROD-004,SUP-012,56,$4800.00,USD,2026-08-15T16:27:20.247341,2026-08-27T16:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000048"", ""amount"": 268800.0}"
ORD-000049,CUST-007,PROD-006,SUP-013,148,$1800.00,USD,2026-08-06T15:27:20.247341,2026-08-13T15:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000049"", ""amount"": 266400.0}"
ORD-000050,CUST-003,PROD-007,SUP-015,149,$3200.00,USD,2026-08-31T18:27:20.247341,2026-09-14T18:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000050"", ""amount"": 476800.0}"
ORD-000051,CUST-005,PROD-005,SUP-008,80,$2100.00,USD,2026-08-03T19:27:20.247341,2026-08-12T19:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000051"", ""amount"": 168000.0}"
ORD-000052,CUST-008,PROD-002,SUP-015,136,$350.00,USD,2026-08-07T18:27:20.247341,2026-08-20T18:27:20.247341,DELAYED,"{""order_id"": ""ORD-000052"", ""amount"": 47600.0}"
ORD-000053,CUST-002,PROD-010,SUP-004,91,$120.00,USD,2026-08-17T18:27:20.247341,2026-08-25T18:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000053"", ""amount"": 10920.0}"
ORD-000054,CUST-005,PROD-003,SUP-013,182,$45.00,USD,2026-08-14T22:27:20.247341,2026-08-26T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000054"", ""amount"": 8190.0}"
ORD-000055,CUST-005,PROD-007,SUP-015,97,$3200.00,USD,2026-07-27T20:27:20.247341,2026-08-03T20:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000055"", ""amount"": 310400.0}"
ORD-000056,CUST-009,PROD-001,SUP-010,163,$1250.00,USD,2026-07-24T11:27:20.247341,2026-08-04T11:27:20.247341,CUSTOMS_HOLD,"{""order_id"": ""ORD-000056"", ""amount"": 203750.0}"
ORD-000057,CUST-010,PROD-006,SUP-013,15,$1800.00,USD,2026-08-17T13:27:20.247341,2026-08-28T13:27:20.247341,DELAYED,"{""order_id"": ""ORD-000057"", ""amount"": 27000.0}"
ORD-000058,CUST-010,PROD-010,SUP-004,128,$120.00,USD,2026-07-22T01:27:20.247341,2026-08-02T01:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000058"", ""amount"": 15360.0}"
ORD-000059,CUST-010,PROD-001,SUP-010,92,$1250.00,USD,2026-08-25T15:27:20.247341,2026-08-30T15:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000059"", ""amount"": 115000.0}"
ORD-000060,CUST-009,PROD-008,SUP-010,129,$890.00,USD,2026-08-13T14:27:20.247341,2026-08-19T14:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000060"", ""amount"": 114810.0}"
ORD-000061,CUST-010,PROD-001,SUP-010,29,$1250.00,USD,2026-08-11T18:27:20.247341,2026-08-20T18:27:20.247341,CUSTOMS_HOLD,"{""order_id"": ""ORD-000061"", ""amount"": 36250.0}"
ORD-000062,CUST-004,PROD-006,SUP-013,152,$1800.00,USD,2026-08-19T11:27:20.247341,2026-09-02T11:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000062"", ""amount"": 273600.0}"
ORD-000063,CUST-004,PROD-002,SUP-015,17,$350.00,USD,2026-08-04T00:27:20.247341,2026-08-15T00:27:20.247341,DELAYED,"{""order_id"": ""ORD-000063"", ""amount"": 5950.0}"
ORD-000064,CUST-004,PROD-002,SUP-015,45,$350.00,USD,2026-08-11T03:27:20.247341,2026-08-25T03:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000064"", ""amount"": 15750.0}"
ORD-000065,CUST-009,PROD-008,SUP-010,141,$890.00,USD,2026-07-29T23:27:20.247341,2026-08-04T23:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000065"", ""amount"": 125490.0}"
ORD-000066,CUST-001,PROD-009,SUP-015,6,$3400.00,USD,2026-07-26T19:27:20.247341,2026-08-08T19:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000066"", ""amount"": 20400.0}"
ORD-000067,CUST-006,PROD-007,SUP-015,72,$3200.00,USD,2026-07-21T22:27:20.247341,2026-07-28T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000067"", ""amount"": 230400.0}"
ORD-000068,CUST-003,PROD-007,SUP-015,101,$3200.00,USD,2026-07-30T14:27:20.247341,2026-08-14T14:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000068"", ""amount"": 323200.0}"
ORD-000069,CUST-004,PROD-004,SUP-012,24,$4800.00,USD,2026-08-15T13:27:20.247341,2026-08-23T13:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000069"", ""amount"": 115200.0}"
ORD-000070,CUST-004,PROD-006,SUP-013,109,$1800.00,USD,2026-08-01T19:27:20.247341,2026-08-13T19:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000070"", ""amount"": 196200.0}"
ORD-000071,CUST-002,PROD-009,SUP-015,155,$3400.00,USD,2026-08-12T19:27:20.247341,2026-08-25T19:27:20.247341,DELAYED,"{""order_id"": ""ORD-000071"", ""amount"": 527000.0}"
ORD-000072,CUST-010,PROD-006,SUP-013,141,$1800.00,USD,2026-08-11T21:27:20.247341,2026-08-22T21:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000072"", ""amount"": 253800.0}"
ORD-000073,CUST-010,PROD-009,SUP-015,139,$3400.00,USD,2026-08-03T09:27:20.247341,2026-08-15T09:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000073"", ""amount"": 472600.0}"
ORD-000074,CUST-009,PROD-010,SUP-004,85,$120.00,USD,2026-07-29T08:27:20.247341,2026-08-04T08:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000074"", ""amount"": 10200.0}"
ORD-000075,CUST-006,PROD-007,SUP-015,63,$3200.00,USD,2026-07-26T22:27:20.247341,2026-08-07T22:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000075"", ""amount"": 201600.0}"
ORD-000076,CUST-004,PROD-007,SUP-015,122,$3200.00,USD,2026-07-28T04:27:20.247341,2026-08-09T04:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000076"", ""amount"": 390400.0}"
ORD-000077,CUST-008,PROD-006,SUP-013,49,$1800.00,USD,2026-07-27T04:27:20.247341,2026-08-05T04:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000077"", ""amount"": 88200.0}"
ORD-000078,CUST-001,PROD-006,SUP-013,109,$1800.00,USD,2026-08-15T07:27:20.247341,2026-08-28T07:27:20.247341,DELAYED,"{""order_id"": ""ORD-000078"", ""amount"": 196200.0}"
ORD-000079,CUST-010,PROD-002,SUP-015,133,$350.00,USD,2026-08-21T09:27:20.247341,2026-08-30T09:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000079"", ""amount"": 46550.0}"
ORD-000080,CUST-003,PROD-004,SUP-012,86,$4800.00,USD,2026-08-28T06:27:20.247341,2026-09-08T06:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000080"", ""amount"": 412800.0}"
ORD-000081,CUST-007,PROD-004,SUP-012,86,$4800.00,USD,2026-07-23T16:27:20.247341,2026-08-06T16:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000081"", ""amount"": 412800.0}"
ORD-000082,CUST-005,PROD-005,SUP-008,128,$2100.00,USD,2026-08-07T12:27:20.247341,2026-08-18T12:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000082"", ""amount"": 268800.0}"
ORD-000083,CUST-005,PROD-009,SUP-015,147,$3400.00,USD,2026-08-20T08:27:20.247341,2026-08-28T08:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000083"", ""amount"": 499800.0}"
ORD-000084,CUST-007,PROD-006,SUP-013,108,$1800.00,USD,2026-07-19T06:27:20.247341,2026-08-03T06:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000084"", ""amount"": 194400.0}"
ORD-000085,CUST-009,PROD-003,SUP-013,174,$45.00,USD,2026-07-26T18:27:20.247341,2026-08-10T18:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000085"", ""amount"": 7830.0}"
ORD-000086,CUST-006,PROD-004,SUP-012,105,$4800.00,USD,2026-08-14T02:27:20.247341,2026-08-25T02:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000086"", ""amount"": 504000.0}"
ORD-000087,CUST-002,PROD-009,SUP-015,39,$3400.00,USD,2026-08-11T08:27:20.247341,2026-08-18T08:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000087"", ""amount"": 132600.0}"
ORD-000088,CUST-007,PROD-009,SUP-015,133,$3400.00,USD,2026-07-30T21:27:20.247341,2026-08-11T21:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000088"", ""amount"": 452200.0}"
ORD-000089,CUST-001,PROD-005,SUP-008,140,$2100.00,USD,2026-08-28T15:27:20.247341,2026-09-07T15:27:20.247341,DELAYED,"{""order_id"": ""ORD-000089"", ""amount"": 294000.0}"
ORD-000090,CUST-004,PROD-007,SUP-015,34,$3200.00,USD,2026-08-19T18:27:20.247341,2026-08-30T18:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000090"", ""amount"": 108800.0}"
ORD-000091,CUST-003,PROD-002,SUP-015,101,$350.00,USD,2026-08-24T17:27:20.247341,2026-08-31T17:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000091"", ""amount"": 35350.0}"
ORD-000092,CUST-002,PROD-008,SUP-010,25,$890.00,USD,2026-08-31T16:27:20.247341,2026-09-11T16:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000092"", ""amount"": 22250.0}"
ORD-000093,CUST-006,PROD-004,SUP-012,138,$4800.00,USD,2026-07-29T18:27:20.247341,2026-08-06T18:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000093"", ""amount"": 662400.0}"
ORD-000094,CUST-006,PROD-003,SUP-013,47,$45.00,USD,2026-07-22T03:27:20.247341,2026-07-29T03:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000094"", ""amount"": 2115.0}"
ORD-000095,CUST-010,PROD-006,SUP-013,140,$1800.00,USD,2026-07-22T19:27:20.247341,2026-07-30T19:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000095"", ""amount"": 252000.0}"
ORD-000096,CUST-007,PROD-009,SUP-015,157,$3400.00,USD,2026-08-19T15:27:20.247341,2026-08-25T15:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000096"", ""amount"": 533800.0}"
ORD-000097,CUST-004,PROD-001,SUP-010,112,$1250.00,USD,2026-08-22T17:27:20.247341,2026-08-28T17:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000097"", ""amount"": 140000.0}"
ORD-000098,CUST-007,PROD-005,SUP-008,9,$2100.00,USD,2026-07-27T09:27:20.247341,2026-08-05T09:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000098"", ""amount"": 18900.0}"
ORD-000099,CUST-001,PROD-004,SUP-012,159,$4800.00,USD,2026-08-17T08:27:20.247341,2026-08-27T08:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000099"", ""amount"": 763200.0}"
ORD-000100,CUST-007,PROD-009,SUP-015,154,$3400.00,USD,2026-08-10T04:27:20.247341,2026-08-22T04:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000100"", ""amount"": 523600.0}"
ORD-000101,CUST-002,PROD-004,SUP-012,109,$4800.00,USD,2026-08-02T11:27:20.247341,2026-08-13T11:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000101"", ""amount"": 523200.0}"
ORD-000102,CUST-002,PROD-002,SUP-015,8,$350.00,USD,2026-08-26T19:27:20.247341,2026-08-31T19:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000102"", ""amount"": 2800.0}"
ORD-000103,CUST-009,PROD-002,SUP-015,25,$350.00,USD,2026-08-04T10:27:20.247341,2026-08-14T10:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000103"", ""amount"": 8750.0}"
ORD-000104,CUST-007,PROD-003,SUP-013,34,$45.00,USD,2026-08-05T03:27:20.247341,2026-08-15T03:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000104"", ""amount"": 1530.0}"
ORD-000105,CUST-002,PROD-007,SUP-015,155,$3200.00,USD,2026-07-23T04:27:20.247341,2026-08-01T04:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000105"", ""amount"": 496000.0}"
ORD-000106,CUST-007,PROD-002,SUP-015,160,$350.00,USD,2026-08-19T05:27:20.247341,2026-08-28T05:27:20.247341,DELAYED,"{""order_id"": ""ORD-000106"", ""amount"": 56000.0}"
ORD-000107,CUST-002,PROD-002,SUP-015,106,$350.00,USD,2026-07-25T01:27:20.247341,2026-08-05T01:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000107"", ""amount"": 37100.0}"
ORD-000108,CUST-006,PROD-005,SUP-008,100,$2100.00,USD,2026-07-23T11:27:20.247341,2026-08-02T11:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000108"", ""amount"": 210000.0}"
ORD-000109,CUST-006,PROD-010,SUP-004,166,$120.00,USD,2026-08-24T02:27:20.247341,2026-09-06T02:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000109"", ""amount"": 19920.0}"
ORD-000110,CUST-008,PROD-010,SUP-004,127,$120.00,USD,2026-07-30T16:27:20.247341,2026-08-14T16:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000110"", ""amount"": 15240.0}"
ORD-000111,CUST-006,PROD-009,SUP-015,152,$3400.00,USD,2026-07-30T03:27:20.247341,2026-08-04T03:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000111"", ""amount"": 516800.0}"
ORD-000112,CUST-002,PROD-010,SUP-004,75,$120.00,USD,2026-08-23T07:27:20.247341,2026-09-01T07:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000112"", ""amount"": 9000.0}"
ORD-000113,CUST-006,PROD-007,SUP-015,87,$3200.00,USD,2026-08-24T12:27:20.247341,2026-09-07T12:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000113"", ""amount"": 278400.0}"
ORD-000114,CUST-004,PROD-010,SUP-004,68,$120.00,USD,2026-07-26T23:27:20.247341,2026-08-07T23:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000114"", ""amount"": 8160.0}"
ORD-000115,CUST-007,PROD-001,SUP-010,179,$1250.00,USD,2026-07-21T12:27:20.247341,2026-08-02T12:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000115"", ""amount"": 223750.0}"
ORD-000116,CUST-005,PROD-008,SUP-010,51,$890.00,USD,2026-08-07T22:27:20.247341,2026-08-16T22:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000116"", ""amount"": 45390.0}"
ORD-000117,CUST-002,PROD-008,SUP-010,195,$890.00,USD,2026-08-17T14:27:20.247341,2026-08-23T14:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000117"", ""amount"": 173550.0}"
ORD-000118,CUST-007,PROD-003,SUP-013,13,$45.00,USD,2026-08-30T05:27:20.247341,2026-09-12T05:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000118"", ""amount"": 585.0}"
ORD-000119,CUST-008,PROD-004,SUP-012,126,$4800.00,USD,2026-08-25T21:27:20.247341,2026-09-08T21:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000119"", ""amount"": 604800.0}"
ORD-000120,CUST-003,PROD-003,SUP-013,92,$45.00,USD,2026-08-04T12:27:20.247341,2026-08-10T12:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000120"", ""amount"": 4140.0}"
ORD-000121,CUST-002,PROD-008,SUP-010,42,$890.00,USD,2026-07-20T05:27:20.247341,2026-08-01T05:27:20.247341,CUSTOMS_HOLD,"{""order_id"": ""ORD-000121"", ""amount"": 37380.0}"
ORD-000122,CUST-008,PROD-005,SUP-008,92,$2100.00,USD,2026-08-10T06:27:20.247341,2026-08-25T06:27:20.247341,DELAYED,"{""order_id"": ""ORD-000122"", ""amount"": 193200.0}"
ORD-000123,CUST-003,PROD-003,SUP-013,163,$45.00,USD,2026-08-17T00:27:20.247341,2026-08-27T00:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000123"", ""amount"": 7335.0}"
ORD-000124,CUST-003,PROD-007,SUP-015,160,$3200.00,USD,2026-08-30T02:27:20.247341,2026-09-05T02:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000124"", ""amount"": 512000.0}"
ORD-000125,CUST-009,PROD-009,SUP-015,149,$3400.00,USD,2026-07-18T16:27:20.247341,2026-08-01T16:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000125"", ""amount"": 506600.0}"
ORD-000126,CUST-007,PROD-006,SUP-013,183,$1800.00,USD,2026-07-20T05:27:20.247341,2026-08-04T05:27:20.247341,DELAYED,"{""order_id"": ""ORD-000126"", ""amount"": 329400.0}"
ORD-000127,CUST-010,PROD-001,SUP-010,84,$1250.00,USD,2026-08-19T08:27:20.247341,2026-08-25T08:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000127"", ""amount"": 105000.0}"
ORD-000128,CUST-007,PROD-006,SUP-013,112,$1800.00,USD,2026-08-03T00:27:20.247341,2026-08-09T00:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000128"", ""amount"": 201600.0}"
ORD-000129,CUST-010,PROD-001,SUP-010,138,$1250.00,USD,2026-08-08T05:27:20.247341,2026-08-22T05:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000129"", ""amount"": 172500.0}"
