shipment_id,order_id,origin_warehouse_id,destination_city,destination_country,carrier,mode,status,shipped_at,estimated_delivery_at,actual_delivery_at,raw_payload
SHP-000019,ORD-000019,WH-US-001,USA,USA,Cosco Shipping,Road Truckload,DELIVERED,2026-08-19T11:27:20.247341,2026-08-28T11:27:20.247341,2026-08-30T11:27:20.247341,"{""shipment_id"": ""SHP-000019"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000020,ORD-000020,WH-AU-001,Australia,Australia,Cosco Shipping,Road Truckload,IN_TRANSIT,2026-08-23T04:27:20.247341,2026-09-01T04:27:20.247341,,"{""shipment_id"": ""SHP-000020"", ""carrier"": ""Cosco Shipping"", ""status"": ""IN_TRANSIT""}"
SHP-000021,ORD-000021,WH-US-002,UK,UK,DHL Supply Chain,Road Truckload,DELIVERED,2026-08-22T03:27:20.247341,2026-08-25T03:27:20.247341,2026-08-27T03:27:20.247341,"{""shipment_id"": ""SHP-000021"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000022,ORD-000022,WH-AP-001,USA,USA,Cosco Shipping,Rail Express,IN_TRANSIT,2026-08-19T06:27:20.247341,2026-08-24T06:27:20.247341,,"{""shipment_id"": ""SHP-000022"", ""carrier"": ""Cosco Shipping"", ""status"": ""IN_TRANSIT""}"
SHP-000023,ORD-000023,WH-EU-002,Taiwan,Taiwan,DB Schenker,Road Truckload,IN_TRANSIT,2026-08-11T20:27:20.247341,2026-08-19T20:27:20.247341,,"{""shipment_id"": ""SHP-000023"", ""carrier"": ""DB Schenker"", ""status"": ""IN_TRANSIT""}"
SHP-000024,ORD-000024,WH-AP-001,USA,USA,Maersk Ocean,Road Truckload,DELIVERED,2026-07-20T22:27:20.247341,2026-07-26T22:27:20.247341,2026-07-26T22:27:20.247341,"{""shipment_id"": ""SHP-000024"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000025,ORD-000025,WH-AP-001,Japan,Japan,UPS Supply Chain,Air Freight,DELIVERED,2026-08-27T13:27:20.247341,2026-09-05T13:27:20.247341,2026-09-07T13:27:20.247341,"{""shipment_id"": ""SHP-000025"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000026,ORD-000026,WH-ME-001,Taiwan,Taiwan,Cosco Shipping,Road Truckload,DELIVERED,2026-08-28T22:27:20.247341,2026-09-03T22:27:20.247341,2026-09-03T22:27:20.247341,"{""shipment_id"": ""SHP-000026"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000027,ORD-000027,WH-AP-002,Germany,Germany,FedEx Express Air,Air Freight,DELIVERED,2026-08-18T22:27:20.247341,2026-08-28T22:27:20.247341,2026-08-28T22:27:20.247341,"{""shipment_id"": ""SHP-000027"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELIVERED""}"
SHP-000028,ORD-000028,WH-US-001,Australia,Australia,DB Schenker,Road Truckload,IN_TRANSIT,2026-08-15T09:27:20.247341,2026-08-25T09:27:20.247341,,"{""shipment_id"": ""SHP-000028"", ""carrier"": ""DB Schenker"", ""status"": ""IN_TRANSIT""}"
SHP-000029,ORD-000029,WH-US-001,Switzerland,Switzerland,DB Schenker,Sea Freight,DELIVERED,2026-08-02T10:27:20.247341,2026-08-05T10:27:20.247341,2026-08-05T22:27:20.247341,"{""shipment_id"": ""SHP-000029"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000030,ORD-000030,WH-SA-001,Australia,Australia,DHL Supply Chain,Road Truckload,DELIVERED,2026-09-01T19:27:20.247341,2026-09-04T19:27:20.247341,2026-09-05T07:27:20.247341,"{""shipment_id"": ""SHP-000030"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000031,ORD-000031,WH-AU-001,USA,USA,Cosco Shipping,Sea Freight,DELIVERED,2026-08-15T20:27:20.247341,2026-08-24T20:27:20.247341,2026-08-25T20:27:20.247341,"{""shipment_id"": ""SHP-000031"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000032,ORD-000032,WH-AP-002,USA,USA,DB Schenker,Road Truckload,DELIVERED,2026-07-25T11:27:20.247341,2026-08-01T11:27:20.247341,2026-08-01T11:27:20.247341,"{""shipment_id"": ""SHP-000032"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000033,ORD-000033,WH-EU-002,Taiwan,Taiwan,DB Schenker,Road Truckload,DELIVERED,2026-08-25T07:27:20.247341,2026-09-03T07:27:20.247341,2026-09-03T07:27:20.247341,"{""shipment_id"": ""SHP-000033"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000034,ORD-000034,WH-US-002,Japan,Japan,Kuehne + Nagel,Air Freight,DELIVERED,2026-09-03T22:27:20.247341,2026-09-13T22:27:20.247341,2026-09-13T22:27:20.247341,"{""shipment_id"": ""SHP-000034"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""DELIVERED""}"
SHP-000035,ORD-000035,WH-EU-002,Australia,Australia,DHL Supply Chain,Air Freight,DELIVERED,2026-08-19T10:27:20.247341,2026-08-23T10:27:20.247341,2026-08-23T10:27:20.247341,"{""shipment_id"": ""SHP-000035"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000036,ORD-000036,WH-US-001,Australia,Australia,UPS Supply Chain,Air Freight,DELIVERED,2026-08-30T19:27:20.247341,2026-09-06T19:27:20.247341,2026-09-06T19:27:20.247341,"{""shipment_id"": ""SHP-000036"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000037,ORD-000037,WH-AP-001,USA,USA,FedEx Express Air,Air Freight,DELAYED,2026-08-16T05:27:20.247341,2026-08-20T05:27:20.247341,,"{""shipment_id"": ""SHP-000037"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELAYED""}"
SHP-000038,ORD-000038,WH-AP-003,Japan,Japan,Maersk Ocean,Rail Express,DELIVERED,2026-08-10T09:27:20.247341,2026-08-19T09:27:20.247341,2026-08-21T09:27:20.247341,"{""shipment_id"": ""SHP-000038"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000039,ORD-000039,WH-AP-001,Japan,Japan,DHL Supply Chain,Road Truckload,DELAYED,2026-08-29T03:27:20.247341,2026-09-03T03:27:20.247341,,"{""shipment_id"": ""SHP-000039"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELAYED""}"
SHP-000040,ORD-000040,WH-AP-001,UK,UK,FedEx Express Air,Sea Freight,DELAYED,2026-07-23T13:27:20.247341,2026-07-27T13:27:20.247341,,"{""shipment_id"": ""SHP-000040"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELAYED""}"
SHP-000041,ORD-000041,WH-ME-001,USA,USA,Kuehne + Nagel,Sea Freight,IN_TRANSIT,2026-08-07T05:27:20.247341,2026-08-11T05:27:20.247341,,"{""shipment_id"": ""SHP-000041"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""IN_TRANSIT""}"
SHP-000042,ORD-000042,WH-EU-001,USA,USA,UPS Supply Chain,Air Freight,DELIVERED,2026-08-01T11:27:20.247341,2026-08-06T11:27:20.247341,2026-08-06T11:27:20.247341,"{""shipment_id"": ""SHP-000042"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000043,ORD-000043,WH-ME-001,Germany,Germany,DB Schenker,Sea Freight,IN_TRANSIT,2026-08-09T17:27:20.247341,2026-08-16T17:27:20.247341,,"{""shipment_id"": ""SHP-000043"", ""carrier"": ""DB Schenker"", ""status"": ""IN_TRANSIT""}"
SHP-000044,ORD-000044,WH-AP-002,Japan,Japan,Cosco Shipping,Sea Freight,DELIVERED,2026-08-28T18:27:20.247341,2026-09-03T18:27:20.247341,2026-09-03T18:27:20.247341,"{""shipment_id"": ""SHP-000044"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000045,ORD-000045,WH-US-001,Germany,Germany,Kuehne + Nagel,Road Truckload,DELIVERED,2026-08-13T13:27:20.247341,2026-08-17T13:27:20.247341,2026-08-17T13:27:20.247341,"{""shipment_id"": ""SHP-000045"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""DELIVERED""}"
SHP-000046,ORD-000046,WH-AP-003,UK,UK,Cosco Shipping,Sea Freight,DELIVERED,2026-08-12T17:27:20.247341,2026-08-22T17:27:20.247341,2026-08-23T05:27:20.247341,"{""shipment_id"": ""SHP-000046"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000047,ORD-000047,WH-AU-001,Australia,Australia,Maersk Ocean,Road Truckload,DELIVERED,2026-07-29T20:27:20.247341,2026-08-02T20:27:20.247341,2026-08-03T20:27:20.247341,"{""shipment_id"": ""SHP-000047"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000048,ORD-000048,WH-US-001,Australia,Australia,Cosco Shipping,Sea Freight,DELIVERED,2026-08-17T16:27:20.247341,2026-08-20T16:27:20.247341,2026-08-20T16:27:20.247341,"{""shipment_id"": ""SHP-000048"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000049,ORD-000049,WH-EU-002,Japan,Japan,DHL Supply Chain,Rail Express,DELIVERED,2026-08-08T15:27:20.247341,2026-08-18T15:27:20.247341,2026-08-18T15:27:20.247341,"{""shipment_id"": ""SHP-000049"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000050,ORD-000050,WH-AP-002,Germany,Germany,DHL Supply Chain,Air Freight,DELIVERED,2026-09-01T18:27:20.247341,2026-09-06T18:27:20.247341,2026-09-07T06:27:20.247341,"{""shipment_id"": ""SHP-000050"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000051,ORD-000051,WH-EU-001,Switzerland,Switzerland,DHL Supply Chain,Rail Express,DELIVERED,2026-08-04T19:27:20.247341,2026-08-07T19:27:20.247341,2026-08-09T19:27:20.247341,"{""shipment_id"": ""SHP-000051"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000052,ORD-000052,WH-US-002,UK,UK,Maersk Ocean,Rail Express,DELAYED,2026-08-10T18:27:20.247341,2026-08-19T18:27:20.247341,,"{""shipment_id"": ""SHP-000052"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELAYED""}"
SHP-000053,ORD-000053,WH-EU-001,USA,USA,DHL Supply Chain,Air Freight,DELIVERED,2026-08-19T18:27:20.247341,2026-08-26T18:27:20.247341,2026-08-26T18:27:20.247341,"{""shipment_id"": ""SHP-000053"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000054,ORD-000054,WH-EU-002,Switzerland,Switzerland,Cosco Shipping,Rail Express,DELIVERED,2026-08-16T22:27:20.247341,2026-08-22T22:27:20.247341,2026-08-24T22:27:20.247341,"{""shipment_id"": ""SHP-000054"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000055,ORD-000055,WH-US-001,Switzerland,Switzerland,Maersk Ocean,Road Truckload,DELIVERED,2026-07-28T20:27:20.247341,2026-08-06T20:27:20.247341,2026-08-06T20:27:20.247341,"{""shipment_id"": ""SHP-000055"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000056,ORD-000056,WH-EU-001,Taiwan,Taiwan,UPS Supply Chain,Rail Express,CUSTOMS_HOLD,2026-07-26T11:27:20.247341,2026-08-03T11:27:20.247341,,"{""shipment_id"": ""SHP-000056"", ""carrier"": ""UPS Supply Chain"", ""status"": ""CUSTOMS_HOLD""}"
SHP-000057,ORD-000057,WH-EU-001,Australia,Australia,UPS Supply Chain,Road Truckload,DELAYED,2026-08-20T13:27:20.247341,2026-08-30T13:27:20.247341,,"{""shipment_id"": ""SHP-000057"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELAYED""}"
SHP-000058,ORD-000058,WH-AP-001,Australia,Australia,FedEx Express Air,Sea Freight,DELIVERED,2026-07-25T01:27:20.247341,2026-07-30T01:27:20.247341,2026-07-30T13:27:20.247341,"{""shipment_id"": ""SHP-000058"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELIVERED""}"
SHP-000059,ORD-000059,WH-AP-002,Australia,Australia,UPS Supply Chain,Air Freight,DELIVERED,2026-08-27T15:27:20.247341,2026-09-03T15:27:20.247341,2026-09-04T03:27:20.247341,"{""shipment_id"": ""SHP-000059"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000060,ORD-000060,WH-SA-001,Taiwan,Taiwan,DHL Supply Chain,Rail Express,DELIVERED,2026-08-14T14:27:20.247341,2026-08-20T14:27:20.247341,2026-08-21T14:27:20.247341,"{""shipment_id"": ""SHP-000060"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000061,ORD-000061,WH-ME-001,Australia,Australia,Maersk Ocean,Sea Freight,CUSTOMS_HOLD,2026-08-14T18:27:20.247341,2026-08-21T18:27:20.247341,,"{""shipment_id"": ""SHP-000061"", ""carrier"": ""Maersk Ocean"", ""status"": ""CUSTOMS_HOLD""}"
SHP-000062,ORD-000062,WH-AU-001,Japan,Japan,Kuehne + Nagel,Rail Express,DELIVERED,2026-08-20T11:27:20.247341,2026-08-23T11:27:20.247341,2026-08-23T11:27:20.247341,"{""shipment_id"": ""SHP-000062"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""DELIVERED""}"
SHP-000063,ORD-000063,WH-SA-001,Japan,Japan,Kuehne + Nagel,Air Freight,DELAYED,2026-08-05T00:27:20.247341,2026-08-13T00:27:20.247341,,"{""shipment_id"": ""SHP-000063"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""DELAYED""}"
SHP-000064,ORD-000064,WH-ME-001,Japan,Japan,Cosco Shipping,Road Truckload,DELIVERED,2026-08-14T03:27:20.247341,2026-08-18T03:27:20.247341,2026-08-19T03:27:20.247341,"{""shipment_id"": ""SHP-000064"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000065,ORD-000065,WH-AU-001,Taiwan,Taiwan,UPS Supply Chain,Air Freight,DELIVERED,2026-07-30T23:27:20.247341,2026-08-06T23:27:20.247341,2026-08-06T23:27:20.247341,"{""shipment_id"": ""SHP-000065"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000066,ORD-000066,WH-AP-002,USA,USA,FedEx Express Air,Road Truckload,IN_TRANSIT,2026-07-27T19:27:20.247341,2026-07-30T19:27:20.247341,,"{""shipment_id"": ""SHP-000066"", ""carrier"": ""FedEx Express Air"", ""status"": ""IN_TRANSIT""}"
SHP-000067,ORD-000067,WH-EU-002,USA,USA,UPS Supply Chain,Sea Freight,DELIVERED,2026-07-24T22:27:20.247341,2026-07-30T22:27:20.247341,2026-07-30T22:27:20.247341,"{""shipment_id"": ""SHP-000067"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000068,ORD-000068,WH-AP-002,Germany,Germany,Cosco Shipping,Rail Express,IN_TRANSIT,2026-08-01T14:27:20.247341,2026-08-07T14:27:20.247341,,"{""shipment_id"": ""SHP-000068"", ""carrier"": ""Cosco Shipping"", ""status"": ""IN_TRANSIT""}"
SHP-000069,ORD-000069,WH-AP-001,Japan,Japan,DB Schenker,Sea Freight,DELIVERED,2026-08-18T13:27:20.247341,2026-08-23T13:27:20.247341,2026-08-23T13:27:20.247341,"{""shipment_id"": ""SHP-000069"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000070,ORD-000070,WH-AU-001,Japan,Japan,Cosco Shipping,Road Truckload,DELIVERED,2026-08-02T19:27:20.247341,2026-08-06T19:27:20.247341,2026-08-07T19:27:20.247341,"{""shipment_id"": ""SHP-000070"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000071,ORD-000071,WH-EU-002,USA,USA,FedEx Express Air,Sea Freight,DELAYED,2026-08-15T19:27:20.247341,2026-08-19T19:27:20.247341,,"{""shipment_id"": ""SHP-000071"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELAYED""}"
SHP-000072,ORD-000072,WH-EU-001,Australia,Australia,UPS Supply Chain,Rail Express,DELIVERED,2026-08-14T21:27:20.247341,2026-08-20T21:27:20.247341,2026-08-20T21:27:20.247341,"{""shipment_id"": ""SHP-000072"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000073,ORD-000073,WH-EU-001,Australia,Australia,Maersk Ocean,Air Freight,DELIVERED,2026-08-05T09:27:20.247341,2026-08-14T09:27:20.247341,2026-08-15T09:27:20.247341,"{""shipment_id"": ""SHP-000073"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000074,ORD-000074,WH-AU-001,Taiwan,Taiwan,Maersk Ocean,Air Freight,DELIVERED,2026-07-31T08:27:20.247341,2026-08-07T08:27:20.247341,2026-08-07T08:27:20.247341,"{""shipment_id"": ""SHP-000074"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000075,ORD-000075,WH-SA-001,USA,USA,DB Schenker,Sea Freight,IN_TRANSIT,2026-07-27T22:27:20.247341,2026-07-31T22:27:20.247341,,"{""shipment_id"": ""SHP-000075"", ""carrier"": ""DB Schenker"", ""status"": ""IN_TRANSIT""}"
SHP-000076,ORD-000076,WH-US-001,Japan,Japan,UPS Supply Chain,Road Truckload,DELIVERED,2026-07-29T04:27:20.247341,2026-08-03T04:27:20.247341,2026-08-04T04:27:20.247341,"{""shipment_id"": ""SHP-000076"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000077,ORD-000077,WH-US-002,UK,UK,Kuehne + Nagel,Rail Express,DELIVERED,2026-07-30T04:27:20.247341,2026-08-07T04:27:20.247341,2026-08-07T04:27:20.247341,"{""shipment_id"": ""SHP-000077"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""DELIVERED""}"
SHP-000078,ORD-000078,WH-SA-001,USA,USA,Cosco Shipping,Rail Express,DELAYED,2026-08-18T07:27:20.247341,2026-08-28T07:27:20.247341,,"{""shipment_id"": ""SHP-000078"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELAYED""}"
SHP-000079,ORD-000079,WH-US-001,Australia,Australia,DHL Supply Chain,Sea Freight,DELIVERED,2026-08-22T09:27:20.247341,2026-08-26T09:27:20.247341,2026-08-28T09:27:20.247341,"{""shipment_id"": ""SHP-000079"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000080,ORD-000080,WH-AP-001,Germany,Germany,Maersk Ocean,Air Freight,DELIVERED,2026-08-29T06:27:20.247341,2026-09-04T06:27:20.247341,2026-09-04T06:27:20.247341,"{""shipment_id"": ""SHP-000080"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000081,ORD-000081,WH-EU-002,Japan,Japan,FedEx Express Air,Sea Freight,IN_TRANSIT,2026-07-25T16:27:20.247341,2026-08-01T16:27:20.247341,,"{""shipment_id"": ""SHP-000081"", ""carrier"": ""FedEx Express Air"", ""status"": ""IN_TRANSIT""}"
SHP-000082,ORD-000082,WH-AP-002,Switzerland,Switzerland,DHL Supply Chain,Rail Express,DELIVERED,2026-08-10T12:27:20.247341,2026-08-14T12:27:20.247341,2026-08-15T00:27:20.247341,"{""shipment_id"": ""SHP-000082"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000083,ORD-000083,WH-EU-002,Switzerland,Switzerland,DB Schenker,Rail Express,DELIVERED,2026-08-23T08:27:20.247341,2026-08-29T08:27:20.247341,2026-08-31T08:27:20.247341,"{""shipment_id"": ""SHP-000083"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000084,ORD-000084,WH-US-002,Japan,Japan,FedEx Express Air,Rail Express,DELIVERED,2026-07-21T06:27:20.247341,2026-07-26T06:27:20.247341,2026-07-26T06:27:20.247341,"{""shipment_id"": ""SHP-000084"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELIVERED""}"
SHP-000085,ORD-000085,WH-EU-001,Taiwan,Taiwan,DHL Supply Chain,Sea Freight,DELIVERED,2026-07-27T18:27:20.247341,2026-08-03T18:27:20.247341,2026-08-03T18:27:20.247341,"{""shipment_id"": ""SHP-000085"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000086,ORD-000086,WH-AU-001,USA,USA,FedEx Express Air,Road Truckload,DELIVERED,2026-08-16T02:27:20.247341,2026-08-21T02:27:20.247341,2026-08-22T02:27:20.247341,"{""shipment_id"": ""SHP-000086"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELIVERED""}"
SHP-000087,ORD-000087,WH-US-002,USA,USA,Kuehne + Nagel,Sea Freight,IN_TRANSIT,2026-08-13T08:27:20.247341,2026-08-16T08:27:20.247341,,"{""shipment_id"": ""SHP-000087"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""IN_TRANSIT""}"
SHP-000088,ORD-000088,WH-ME-001,Japan,Japan,UPS Supply Chain,Road Truckload,DELIVERED,2026-08-01T21:27:20.247341,2026-08-04T21:27:20.247341,2026-08-05T09:27:20.247341,"{""shipment_id"": ""SHP-000088"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000089,ORD-000089,WH-AP-003,USA,USA,UPS Supply Chain,Sea Freight,DELAYED,2026-08-30T15:27:20.247341,2026-09-08T15:27:20.247341,,"{""shipment_id"": ""SHP-000089"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELAYED""}"
SHP-000090,ORD-000090,WH-AP-002,Japan,Japan,FedEx Express Air,Air Freight,IN_TRANSIT,2026-08-20T18:27:20.247341,2026-08-23T18:27:20.247341,,"{""shipment_id"": ""SHP-000090"", ""carrier"": ""FedEx Express Air"", ""status"": ""IN_TRANSIT""}"
